,Network,Rn,d,Rn_D av,Rn_D std,Rn_B av,Rn_B std,Rn_Clo av,Rn_Clo std,Rn_Clu av,Rn_Clu std
0,Dolphins,8.435483870967742,0.2,5.5456,0.5007879044590886,5.4466,0.39827968448152995,6.0468,0.731320764511757,7.3092,0.4168028383547862
1,Polbooks,12.114285714285714,0.2,7.017619047619047,0.7643892872000629,7.508571428571429,0.8473889873754784,8.014761904761905,0.7041938189862634,10.48452380952381,0.34795994604597025
2,Word adjacencies,12.375,0.2,8.137555555555556,0.4885004578747173,8.350777777777777,0.37809867865327373,8.736444444444444,0.5284240947791224,10.879444444444445,0.3537706848631078
3,Karate,6.088235294117647,0.2,1.9085185185185185,0.18086659157315882,1.9044444444444444,0.1402871379694448,2.2444444444444445,0.22084621999997922,5.683703703703704,0.4042978977480056
4,Circuits1,12.049180327868852,0.2,4.578367346938776,0.5996012541290677,2.43234693877551,0.15431463023022987,2.8224489795918366,0.2344540016194742,10.795408163265305,1.0885787388189367
5,bn-macaque-rhesus_brain_2,10.241758241758241,0.2,0.9863013698630136,0.0,0.9863013698630136,0.0,0.9863013698630136,0.0,10.397808219178081,0.43599283360274654
6,soc-tribes,4.9411764705882355,0.2,4.202857142857143,0.13946920610536012,4.200714285714286,0.13186224641840874,4.191428571428571,0.1491679665715204,4.317142857142857,0.05108591959825852
7,bn-cat-mixed-species_brain_1,10.015384615384615,0.2,8.754807692307692,0.22928125242619266,8.713461538461539,0.25166797584821815,8.75173076923077,0.25431978547553574,9.09173076923077,0.12898524309109907
8,ca-sandi_auths,7.72093023255814,0.2,1.846231884057971,0.12139313751288675,1.711304347826087,0.16866980279572347,2.1469565217391304,0.18630542127489064,6.991449275362319,0.764393537490731
9,soc-firm-hi-tech,6.393939393939394,0.2,4.600769230769231,0.4385555863639207,4.355384615384615,0.46196302668636013,4.7907692307692304,0.44670945764483155,5.998076923076923,0.20457201694987728
10,CAG_mat72,10.180555555555555,0.2,8.444310344827587,0.41417646673111413,8.072758620689655,0.5059583248581171,8.682241379310344,0.3958678017903362,9.267413793103449,0.22174045322202002
11,ENZYMES123,4.311111111111111,0.2,1.5532407407407407,0.08559789377110164,1.9157407407407407,0.1421429498724624,2.3425,0.20991159260384273,3.622037037037037,0.33192322389660456
12,ENZYMES8,2.900709219858156,0.2,2.010619469026549,0.18333150490324,1.7404424778761063,0.09872940050413628,2.096637168141593,0.17674372622572887,2.3869911504424777,0.13482680124789373
