,CN,AA,RA,PA,JA,SA,SO,HPI,HDI,LLHN,CAR,CH2_L2,CH2_L3,DAGI,DALI,inDAGI,inDALI,PALI,PAGI,CN_DAGI_0.2_0.8,CN_DALI_0.2_0.8,CN_inDAGI_0.2_0.8,CN_inDALI_0.2_0.8,CN_PALI_0.2_0.8,CN_PAGI_0.2_0.8,CN_DAGI_0.4_0.6,CN_DALI_0.4_0.6,CN_inDAGI_0.4_0.6,CN_inDALI_0.4_0.6,CN_PALI_0.4_0.6,CN_PAGI_0.4_0.6,CN_DAGI_0.6_0.4,CN_DALI_0.6_0.4,CN_inDAGI_0.6_0.4,CN_inDALI_0.6_0.4,CN_PALI_0.6_0.4,CN_PAGI_0.6_0.4,CN_DAGI_0.8_0.2,CN_DALI_0.8_0.2,CN_inDAGI_0.8_0.2,CN_inDALI_0.8_0.2,CN_PALI_0.8_0.2,CN_PAGI_0.8_0.2
0,0.031746031746031744,0.04656084656084656,0.04656084656084656,0.011531841652323582,0.09285714285714286,0.09285714285714286,0.09285714285714286,0.04656084656084656,0.09285714285714286,0.06507936507936507,0.014285714285714285,0.04656084656084656,0.014285714285714285,0.012148481439820023,0.012322472848788638,0.018315018315018316,0.018161739991160303,0.012264615991324066,0.011531841652323582,0.011655011655011654,0.013562558623601909,0.018841154646539626,0.019362475489023867,0.013691482697815548,0.0106915055178698,0.013992869875222816,0.015796160361377754,0.018748596334803233,0.02022189897607028,0.015881814662302467,0.012850140056022408,0.020080532212885152,0.02078021139806037,0.047665847665847666,0.023009031198686372,0.020246894027381834,0.018487394957983194,0.03188608776844071,0.034230503795721186,0.047665847665847666,0.025257073844030364,0.03043207921256702,0.030905695611577962
1,0.1366632860040568,0.12379563894523327,0.12379563894523327,0.021191085129704055,0.1181395303479482,0.1181395303479482,0.1181395303479482,0.12032341672301104,0.13176132521974307,0.23868534482758622,0.017241379310344827,0.12379563894523327,0.12667624521072796,0.019411015968525805,0.018968548106563635,0.02367610837438424,0.05137820512820513,0.020615146389762567,0.021191085129704055,0.037126195591231315,0.02766053061687,0.11418650793650795,0.08465055475925042,0.025861484194817527,0.04945481559050643,0.11402737047898338,0.05292054125725525,0.11418650793650795,0.08704973241490095,0.03937453633609654,0.08524462856758148,0.14147835087114025,0.20396141215106733,0.15474901574803152,0.0924353106847386,0.08254781420765027,0.16735436893203884,0.14147835087114025,0.2307471264367816,0.15474901574803152,0.10479521026443706,0.22629781420765027,0.17985436893203882
2,0.07883597883597883,0.08346560846560847,0.08346560846560847,0.013552152134829302,0.11587301587301586,0.10793650793650793,0.11587301587301586,0.08941798941798941,0.07513227513227513,0.09735449735449735,0.014285714285714285,0.08346560846560847,0.02706766917293233,0.027320827320827322,0.026745295089213014,0.011394423805771324,0.012988650693568728,0.01810293786810421,0.013552152134829302,0.1809640522875817,0.035702614379084965,0.017555062624633105,0.015471093940343184,0.02181647292671835,0.01802540138988737,0.1940144478844169,0.07427330242864223,0.017555062624633105,0.017635400234599363,0.03797224542838577,0.03875588697017268,0.21350762527233114,0.20536091177712112,0.06649106002554278,0.021417942176870746,0.07021531100478469,0.07244210815639388,0.21350762527233114,0.21341244156778136,0.06649106002554278,0.03205492424242424,0.11480405559352928,0.0866871224014081
3,0.03333333333333333,0.06507936507936507,0.06507936507936507,0.012665009887232109,0.05119047619047619,0.04656084656084656,0.05119047619047619,0.03333333333333333,0.06507936507936507,0.0761904761904762,0.014285714285714285,0.06507936507936507,0.014285714285714285,0.012107788851974898,0.01187122736418511,0.016990351464642707,0.015616765138276333,0.0317267301855845,0.012665009887232109,0.011616161616161615,0.011462684489000279,0.017214475114934853,0.01470785804222241,0.061571461571461567,0.016125541125541126,0.014565826330532213,0.01491612678053356,0.01717311862196546,0.01514461555445162,0.06880409821586292,0.02134889592516711,0.020774976657329598,0.028874252403664168,0.05025001453572882,0.017061559472273755,0.3463144963144963,0.0388314134076846,0.033473389355742296,0.033075933075933074,0.05025001453572882,0.020135306094210204,0.3463144963144963,0.04556542014169133
4,0.058823529411764705,0.14285714285714285,0.14285714285714285,0.011494252873563218,0.08333333333333333,0.07692307692307693,0.08333333333333333,0.058823529411764705,0.125,0.14285714285714285,0.005917159763313609,0.14285714285714285,0.005917159763313609,0.005917159763313609,0.005917159763313609,0.006329113924050633,0.006535947712418301,0.019230769230769232,0.011494252873563218,0.007575757575757576,0.007575757575757576,0.011111111111111112,0.008130081300813009,0.023809523809523808,0.017241379310344827,0.017241379310344827,0.0136986301369863,0.011111111111111112,0.009900990099009901,0.047619047619047616,0.03333333333333333,0.058823529411764705,0.047619047619047616,0.0625,0.014925373134328358,0.1111111111111111,0.07692307692307693,0.058823529411764705,0.058823529411764705,0.0625,0.022222222222222223,0.25,0.1111111111111111
5,0.5526315789473684,0.5625,0.5625,0.011904761904761904,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.16666666666666666,0.24358974358974358,0.2222222222222222,0.5052910052910053,0.5625,0.2552910052910053,0.00902234857458738,0.010098697598697599,0.010870849580527,0.013212977498691783,0.01079059829059829,0.011904761904761904,0.01721132897603486,0.016594516594516596,0.06063829787234043,0.01881171263193735,0.018783854621701904,0.017767295597484276,0.09307359307359307,0.03736413043478261,0.14090909090909093,0.02273787313432836,0.0375,0.09871794871794871,0.5714285714285714,0.6,0.5909090909090909,0.03246124031007752,0.0803030303030303,0.5294117647058824,0.5714285714285714,0.6,0.5909090909090909,0.1125,0.5625,0.5588235294117647
6,0.3773109243697479,0.3773109243697479,0.3773109243697479,0.015003578796682245,0.18994708994708992,0.18994708994708992,0.18994708994708992,0.09999999999999999,0.18253968253968253,0.39365079365079364,0.34285714285714286,0.3773109243697479,0.17619047619047618,0.012510329176995844,0.014756390562842175,0.023811695220723947,0.015648539398307598,0.014499889909725974,0.015003578796682245,0.02061004129969647,0.025119325119325117,0.413736521331458,0.01735073315639507,0.02040668682014314,0.02844838193675403,0.39365079365079364,0.13886152162014231,0.413736521331458,0.019198752487328167,0.03478641456582633,0.34851190476190474,0.3857142857142857,0.39870129870129867,0.413736521331458,0.022720629074220233,0.19293394777265743,0.35892857142857143,0.39365079365079364,0.39870129870129867,0.413736521331458,0.10473121108480224,0.3825396825396825,0.3825396825396825
7,0.005291005291005291,0.005291005291005291,0.005291005291005291,0.005291005291005291,0.005291005291005291,0.005291005291005291,0.005291005291005291,0.005291005291005291,0.005291005291005291,0.005291005291005291,0.005291005291005291,0.005291005291005291,0.005291005291005291,0.005291005291005291,0.007575757575757576,0.005714285714285714,0.02,0.00546448087431694,0.005291005291005291,0.005291005291005291,0.007462686567164179,0.005714285714285714,0.02,0.00546448087431694,0.005291005291005291,0.005291005291005291,0.007462686567164179,0.005649717514124294,0.02,0.00546448087431694,0.005291005291005291,0.005291005291005291,0.007462686567164179,0.005649717514124294,0.019230769230769232,0.00546448087431694,0.005291005291005291,0.005291005291005291,0.007462686567164179,0.005649717514124294,0.015151515151515152,0.00546448087431694,0.005291005291005291
8,0.2629310344827586,0.04864532019704433,0.04864532019704433,0.014242382776865535,0.09626436781609195,0.09626436781609195,0.09626436781609195,0.04864532019704433,0.09626436781609195,0.2629310344827586,0.2629310344827586,0.2629310344827586,0.09626436781609195,0.014543937708565073,0.033764367816091954,0.019093851132686083,0.015827417923691214,0.0330058995360559,0.014242382776865535,0.01343872108610707,0.03175770888594165,0.018223887762722712,0.014011219612794919,0.03774038461538461,0.01907869230067506,0.023070745771895197,0.05147783251231527,0.04698665405632619,0.015048583662714096,0.04016457680250784,0.046952776416578544,0.13670710940825884,0.2771392081736909,0.26535374050969585,0.01850253103113515,0.09546703296703296,0.2612384907022928,0.2617071094082588,0.27586206896551724,0.26535374050969585,0.047637869376999806,0.28296703296703296,0.2612384907022928
9,0.15,0.15,0.15,0.01651378924106197,0.18055555555555555,0.20940170940170943,0.18055555555555555,0.23076923076923078,0.13703703703703704,0.5069444444444444,0.014285714285714285,0.15,0.1529100529100529,0.04062313655336911,0.029353955465863644,0.012728937728937729,0.014903073582554029,0.012539449381971133,0.01651378924106197,0.20934411500449235,0.07767406204906205,0.050877192982456146,0.017686181734343085,0.019032300521825307,0.023560290257835417,0.2673992673992674,0.16068376068376067,0.050877192982456146,0.01996978357262066,0.02851359898798229,0.03511904761904762,0.24929971988795518,0.22142857142857142,0.13333333333333333,0.028693366412664657,0.062411393923531594,0.08559139784946238,0.2673992673992674,0.22142857142857142,0.13333333333333333,0.06373626373626373,0.12103174603174602,0.14523809523809522
10,0.010582010582010581,0.010582010582010581,0.010582010582010581,0.01052066559312936,0.010582010582010581,0.010582010582010581,0.010582010582010581,0.010582010582010581,0.010582010582010581,0.010582010582010581,0.010582010582010581,0.010582010582010581,0.010582010582010581,0.016018306636155607,0.009948116399729303,0.011667345000678335,0.04439024390243902,0.022417840375586855,0.01052066559312936,0.016018306636155607,0.009882478632478632,0.011667345000678335,0.04439024390243902,0.022417840375586855,0.01023332998089108,0.01488655229662424,0.009882478632478632,0.011667345000678335,0.04439024390243902,0.019808365579509858,0.010200009975559879,0.014770002180074123,0.009882478632478632,0.011376858435681966,0.04439024390243902,0.019237375472346274,0.010200009975559879,0.014770002180074123,0.009882478632478632,0.011376858435681966,0.039230769230769236,0.019237375472346274,0.010200009975559879
11,0.23676470588235296,0.23676470588235296,0.23676470588235296,0.0232652535274789,0.10065359477124183,0.08120915032679739,0.10065359477124183,0.05009803921568628,0.09620915032679739,0.10176470588235295,0.21568627450980393,0.23676470588235296,0.08235294117647059,0.01708487590840532,0.020886615515771527,0.031315789473684214,0.02415609756097561,0.02300472427777081,0.0232652535274789,0.01641164253863539,0.020156775208855143,0.0786240220892775,0.026356735052387226,0.024085007157407187,0.21456190867955574,0.07009803921568628,0.036577673007693295,0.1488679245283019,0.030317591507264575,0.02958207170924342,0.220460358056266,0.2450980392156863,0.1371782736082939,0.2988679245283019,0.03711311167588752,0.12246184803729561,0.22388591800356508,0.2450980392156863,0.2549560513860717,0.2988679245283019,0.23789039907460963,0.2424202679957156,0.2450980392156863
12,0.08319327731092437,0.08319327731092437,0.08319327731092437,0.016483516483516484,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.11587301587301586,0.1380952380952381,0.09999999999999999,0.014285714285714285,0.08319327731092437,0.22698412698412698,0.028846153846153848,0.01777604050331323,0.03,0.02916134525329928,0.013991973170597615,0.016483516483516484,0.034503027096925876,0.025185185185185185,0.14333333333333334,0.03319986653319987,0.018814733100447387,0.01591117216117216,0.1303030303030303,0.04583820283080119,0.14333333333333334,0.032774153463808645,0.026080428254341297,0.025977301387137455,0.10432900432900433,0.15477066470443954,0.1426791277258567,0.04177005789909016,0.04379379379379379,0.05144149236856981,0.1303030303030303,0.15477066470443954,0.1426791277258567,0.0848813209494324,0.10199485199485199,0.08879781420765027
13,0.08319327731092437,0.08319327731092437,0.08319327731092437,0.013480561306648264,0.10198412698412698,0.1205026455026455,0.10198412698412698,0.125974025974026,0.0795093795093795,0.073015873015873,0.014285714285714285,0.08319327731092437,0.09999999999999999,0.028449633954221114,0.023183760683760685,0.018200100553041727,0.02098960546819663,0.011451101518340924,0.013480561306648264,0.07205149501661129,0.03484938279109112,0.049043592972357136,0.02334843952094626,0.014024261436251677,0.014156846709539917,0.16735084838533115,0.06222222222222222,0.049043592972357136,0.024923076923076923,0.020255754475703325,0.024328814460393408,0.17101385204833477,0.17838383838383837,0.08695208970438328,0.030637254901960783,0.03690032018205393,0.05129490392648287,0.1863984674329502,0.19185185185185183,0.08695208970438328,0.0508563074352548,0.07352941176470588,0.08396686159844055
14,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.01758600506594815,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.022374458765542147,0.02568731593551572,0.023059301061217643,0.04041459369817579,0.022347597757433824,0.01758600506594815,0.022374458765542147,0.025196423526537216,0.023021959761740422,0.04041459369817579,0.02133807178155997,0.01758600506594815,0.02151258256787822,0.024734251852895923,0.023021959761740422,0.039232098192413814,0.020963343792387443,0.017319031875579448,0.02140144058399381,0.023606046724690796,0.02252182083426056,0.0366704283631918,0.02088671543989702,0.017319031875579448,0.02140144058399381,0.023606046724690796,0.02252182083426056,0.034857374374473026,0.02088671543989702,0.017319031875579448
