AC7.2	ZK792.6
F15B10.2	T21B10.2
F15B10.2	T21B10.7
F15B10.2	T23C6.1
F15B10.2	T23G7.5
F15B10.2	T28D9.10
F15B10.2	W04D2.5
F15B10.2	W08E3.1
F15B10.2	W09B6.2
F15B10.2	W09B6.3
F15B10.2	Y22D7AL.10
F15B10.2	Y22D7AL.5
F15B10.2	Y38F2AR.1
F15B10.2	Y46G5A.13
F15B10.2	Y46G5A.4
F15B10.2	Y55F3AR.3
F15B10.2	Y63D3A.5
F15B10.2	Y65B4BR.5
F15B10.2	Y69H2.3
F15B10.2	Y75B8A.20
F15B10.2	ZK632.7
F15D3.1	F30A10.8
F15D3.1	F47G6.1
F16A11.1	M7.1
F16F9.5	W02D3.3
F17A2.5	R03D7.6
F17E5.1	Y54G11A.10
F17E5.1	ZK1067.1
F18A11.1	F28D1.10
F20G4.3	F33D4.2
F21C3.4	F21C3.4
F21C3.4	ZK1098.8
F21F3.5	K11G12.2
F21F3.5	K11G12.7
F22B5.7	Y54E2A.3
F22B7.13	T09A5.10
F22B7.13	Y95B8A.5
F22H10.4	R03D7.6
F23B12.9	T07C4.8
F23F12.4	R03D7.6
F25B5.4	H38K22.2
F25B5.4	T09B4.10
F26C11.2	W02D3.9
F26D10.3	T09B4.10
F26F12.7	M04B2.1
F26F4.13	R13F6.1
F26F4.13	T10B5.6
F26F4.13	Y47G6A.24
F26H11.1	R12B2.4
F26H11.1	R13F6.1
F26H11.1	T10B5.6
F26H11.1	W01B6.9
F26H11.1	Y92C3B.1
F26H9.6	F49E7.1
F26H9.6	Y39A1A.5
F28D1.10	F32H2.1
F28D1.10	F56A11.1
F28D1.10	F58A4.11
F28D1.10	K04H4.1
F28D1.10	M04B2.1
F28D1.10	ZC404.8
F28D1.10	ZK1290.4
F28D1.10	ZK455.1
F30A10.8	F47G6.1
F30A10.8	M01G5.5
F30H5.1	T09B4.10
F35C8.3	F42G10.2
F35C8.3	R03G5.2
F35C8.3	ZK1098.10
F35G12.8	F58A4.3
F35G12.8	K11D9.1
F35G12.8	M106.1
F35G12.9	M7.1
F35H12.3	F55B12.3
F36D4.1	R03D7.6
F37A4.7	Y87G2A.4
F37A4.9	Y108G3AL.1
F41G4.1	R03D7.6
F42G10.2	ZK1098.10
F42G9.1	R03D7.6
F43C1.2	Y54E10BL.6
F43G6.8	M7.1
F44E7.5	R03D7.6
F45H11.2	H38K22.2
F45H11.2	ZK858.2
F45H7.2	F56A11.1
F46A9.4	K10B2.1
F46A9.4	T05H4.2
F46A9.4	T07E3.4
F46A9.4	T10E9.1
F46A9.4	Y113G7B.3
F46A9.4	Y37H2A.5
F46A9.4	Y45F10C.3
F46A9.5	F55B12.3
F46C8.5	F58A3.1
F46F3.4	F52B5.5
F49E7.1	T20B5.1
F52A8.2	K02A4.2
F52D10.3	R11A8.4
F52E1.1	F59B2.6
F52F12.3	W06F12.1
F52F12.3	W10C8.2
F54B11.5	M7.1
F54C1.3	R06A4.7
F54E7.3	T26E3.3
F54G8.3	ZK1058.2
F54G8.4	M7.1
F54G8.4	Y54E5B.4
F54G8.4	Y54G2A.31
F55B12.3	R107.8
F56A11.3	M03A1.1
F56D12.5	H26D21.1
F56D2.7	F56D2.7
F56D2.7	Y47H9C.4
F57B10.12	T01G9.5
F57C2.1	Y108G3AL.1
F58D5.4	Y54E10BL.6
F58H12.1	F58H12.1
F59A6.1	K11E8.1
F59B2.6	W02A2.7
F59B2.6	W03C9.7
F59B2.6	Y49E10.14
F59B2.6	Y82E9BR.15
H26D21.1	K12H4.1
H26D21.1	Y41C4A.14
H38K22.2	Y108G3AL.1
K03B8.9	T26H10.1
K03H1.2	M04B2.1
K04C2.4	K12C11.2
K04C2.4	Y54E2A.3
K04G2.8	K05C4.6
K05C4.1	R03D7.6
K05C4.6	R13H4.4
K07C11.2	Y39G10AR.13
K07G5.2	R03D7.6
K08B4.1	R107.8
K08B4.1	T27F2.1
K08E3.6	K08E3.6
K08E3.6	M03D4.1
K10D3.2	Y60A3A.1
K11C4.3	ZK1058.2
K11E8.1	K11E8.1
K12F2.2	Y60A3A.1
K12H4.8	T07A9.5
M02A10.3	ZK1067.1
M03D4.1	M03D4.1
M106.1	R13G10.1
M106.1	Y39A1B.3
M117.2	R11A8.4
M7.1	T02C1.1
R01H2.6	ZK637.14
R03D7.6	T24A6.7
R03D7.6	Y17G7B.8
R03D7.6	Y17G9B.7
R03D7.6	Y38E10A.21
R03D7.6	Y51B9A.4
R03E9.1	T19B10.11
R06C7.8	T03F1.9
R07E4.6	R07E4.6
R09F10.9	T07C4.8
R107.6	T06E4.1
R107.6	ZK1055.1
R107.8	T04A8.14
R10E11.1	ZK1290.4
R11A8.4	R13H8.1
R12B2.4	R13F6.1
R12B2.4	T10B5.6
R12B2.4	W01B6.9
R12B2.4	Y47G6A.24
R13F6.1	T10B5.6
R13F6.1	W01B6.9
R13F6.1	Y47G6A.24
R13G10.1	Y39A1B.3
T01C8.7	W02D3.3
T01E8.2	W02D3.9
T01G9.5	ZK858.2
T01G9.5	ZK858.4
T03F1.9	T10B5.6
T03F1.9	W01B6.9
T04A11.6	Y56A3A.27
T06E4.1	ZK1055.1
T07A9.5	W09B6.3
T07A9.5	Y38F2AR.1
T07C4.8	Y48C3A.7
T09A5.10	T09A5.10
T10B5.6	W01B6.9
T10B5.6	Y47G6A.24
T19B4.7	T19B4.7
T23G11.3	T23G11.3
T23G11.3	Y113G7B.5
T23G7.1	Y102A5C.18
T27F2.3	Y39G10AR.13
W01B6.9	Y47G6A.24
W02D3.8	Y48G8AL.6
W02D3.8	Y73B6A.4
W02D3.9	W10C8.2
W06A7.3	W06H8.1
W06F12.1	W10C8.2
W09C5.2	Y50E8A.4
Y105C5B.13	ZK520.4
Y105E8B.4	Y108G3AL.1
Y108G3AL.1	ZC239.15
Y108G3AL.1	ZK858.2
Y108G3AL.1	ZK858.4
Y17G7B.7	Y17G7B.7
Y37A1B.15	Y73B6A.4
Y54G11A.10	ZK1067.1
Y56A3A.13	Y56A3A.13
Y59E9AR.1	Y59E9AR.1
Y60A3A.1	Y60A3A.1
Y69A2AR.2	Y95B8A.5
Y73B6A.5	ZK792.6
ZC504.4	ZK1058.2
