AC3.10	AC3.3
D1007.12	F25E2.5
D1007.12	Y113G7A.6
D1007.12	Y39B6A.1
D1007.12	ZK678.1
D1046.1	D1046.1
D1054.2	D1054.2
D1054.2	H15N14.2
D1054.2	K05C4.1
D1054.2	W02G9.2
D1054.5	F13G3.4
D2030.6	F44A6.2
F01F1.9	F01F1.9
F01G10.8	Y66H1B.2
F02A9.3	ZK418.4
F02D10.6	F46A9.4
F07A5.7	F44B9.6
F07A5.7	ZK678.1
F08A8.1	F37D6.1
F08C6.7	F43C1.2
F09F3.9	F25E2.5
F10C1.7	F44B9.6
F10C1.7	ZK678.1
F10E9.3	F43C1.2
F10G7.4	F11E6.1
F10G7.4	F13D12.6
F10G7.4	F56D12.5
F10G7.4	F57F5.1
F10G7.4	K08F8.1
F10G7.4	T03E6.7
F10G7.4	T06E4.3
F10G7.4	Y24F12A.2
F10G8.8	F44B9.6
F10G8.8	ZK418.4
F11A10.3	F32D1.9
F11E6.2	F39H2.4
F11G11.11	F43C1.2
F13B10.2	K03H1.2
F13G3.4	Y75B8A.35
F13G3.4	ZC302.1
F14F3.2	F43C1.2
F18A1.3	F47D12.4
F18C5.2	F42H10.3
F18C5.2	Y45F10C.3
F19B6.2	F59E12.5
F21C3.4	ZK1098.8
F21C3.5	R151.9
F23B12.6	R02D3.5
F23F1.1	W10D9.4
F23F1.8	F23F1.8
F23F1.8	F56H1.4
F23F12.9	K11D2.3
F25E2.5	F25H5.4
F25E2.5	T27E9.1
F25E2.5	W01G7.1
F25E2.5	Y113G7B.23
F25E2.5	ZK353.6
F25E2.5	ZK652.3
F25H2.13	W09D10.3
F25H2.5	F25H2.5
F25H2.5	F39B2.2
F25H2.9	W02G9.2
F25H5.4	F39B2.2
F25H5.4	W06D4.6
F26E4.6	F43C1.2
F26H11.4	F28D1.2
F26H11.4	F54D10.7
F26H9.4	F26H9.4
F27C8.2	T05G5.10
F28B4.2	ZK792.6
F28D1.2	F39H2.4
F28D1.2	T27F2.1
F28D1.2	ZK484.4
F28F8.3	ZK593.7
F29B9.6	F29B9.6
F29B9.6	K04C2.4
F29B9.6	K12C11.2
F29B9.6	Y43C5A.6
F29C4.1	Y38C1AA.6
F29G6.3	K11D2.3
F29G9.2	F43C1.2
F29G9.5	T22D1.9
F30F8.3	F39H2.4
F31C3.5	F32G8.6
F31E3.3	F32A11.2
F32A5.7	ZK593.7
F32D1.1	F43C1.2
F32G8.6	F32G8.6
F33G12.5	F44B9.6
F33G12.5	ZK678.1
F33H2.6	R09B3.1
F35F10.12	K11D2.3
F35G12.9	K06H7.6
F37A4.9	T19B10.4
F37D6.1	R53.4
F37D6.1	T10B10.4
F37D6.1	Y39A1C.3
F38B2.1	F43C1.2
F38B2.1	F44B9.6
F38B2.1	ZK678.1
F39B2.2	K08E3.5
F39B2.2	K12D12.5
F39B2.2	Y15E3A.1
F39B2.2	Y54G2A.31
F39C12.2	Y54G11A.10
F39H11.1	ZC513.6
F39H11.5	T10F2.4
F41H10.10	F57C9.5
F41H10.10	R07B7.2
F41H10.4	F44B9.6
F41H10.4	Y37D8A.9
F42A10.2	F43C1.2
F42C5.10	F43C1.2
F42C5.10	F55B12.3
F42H10.7	F43C1.2
F43C1.2	F47B10.2
F43C1.2	F54D5.5
F43C1.2	K04G2.10
F43C1.2	K04G7.1
F43C1.2	K11E8.1
F43C1.2	T05C12.6
F43C1.2	T08D10.1
F43C1.2	T22A3.3
F43C1.2	T23H4.2
F43C1.2	T27F2.2
F43C1.2	W10D9.3
F43C1.2	Y42H9AR.1
F43C1.2	Y54E10BL.6
F43D9.4	F43D9.4
F43D9.4	W02G9.2
F44A6.1	T28A8.7
F44B9.6	F45G2.3
F44B9.6	F54D5.5
F44B9.6	K05B2.3
F44B9.6	K06A4.5
F44B9.6	K12G11.3
F44B9.6	R11A8.6
F44B9.6	R11E3.6
F44B9.6	T05B11.1
F44B9.6	T05C12.6
F44B9.6	T05E7.5
F44B9.6	T21B6.3
F44B9.6	T22H2.6
F44B9.6	T27C4.4
F44B9.6	W04D2.1
F44B9.6	W10G6.3
F44B9.6	Y54E2A.3
F44B9.6	Y57G11C.24
F44B9.6	Y69H2.3
F44B9.6	Y82E9BR.13
F44B9.6	ZK1127.4
F44B9.6	ZK930.3
F44D12.1	Y41C4A.14
F44F1.7	T22H2.5
F45C12.7	ZK20.3
F45D11.16	ZK418.4
F45F2.11	ZC302.1
F45G2.10	Y18D10A.9
F46A8.10	T22H2.5
F46A9.4	F54D5.9
F46A9.5	F55B12.3
F46F2.2	F46F2.2
F46F2.2	T04A11.6
F46F2.2	T06E4.3
F46F2.2	W03D2.4
F46F3.4	F56C9.1
F47D12.4	F52B10.1
F47D12.4	M151.7
