,CN,AA,RA,PA,JA,SA,SO,HPI,HDI,LLHN,CAR,CH2_L2,DAGI,DALI,inDAGI,inDALI,PALI,PAGI,CN_DAGI_0.2_0.8,CN_DALI_0.2_0.8,CN_inDAGI_0.2_0.8,CN_inDALI_0.2_0.8,CN_PALI_0.2_0.8,CN_PAGI_0.2_0.8,CN_DAGI_0.4_0.6,CN_DALI_0.4_0.6,CN_inDAGI_0.4_0.6,CN_inDALI_0.4_0.6,CN_PALI_0.4_0.6,CN_PAGI_0.4_0.6,CN_DAGI_0.6_0.4,CN_DALI_0.6_0.4,CN_inDAGI_0.6_0.4,CN_inDALI_0.6_0.4,CN_PALI_0.6_0.4,CN_PAGI_0.6_0.4,CN_DAGI_0.8_0.2,CN_DALI_0.8_0.2,CN_inDAGI_0.8_0.2,CN_inDALI_0.8_0.2,CN_PALI_0.8_0.2,CN_PAGI_0.8_0.2
0,0.12587689401021207,0.16478344959658836,0.18530782658442327,0.032965542960139614,0.09830585157820432,0.10681053336732259,0.09830585157820432,0.10493606179351504,0.09095885864101062,0.08092335898332287,0.10069198567873368,0.14357071663519994,0.028850064159078793,0.02843383120808329,0.016329551888460435,0.013777408368927987,0.02871919466504829,0.032954903290849796,0.05627877259600755,0.06180153168035229,0.02419333931662551,0.015333192293188351,0.05803381199193004,0.051412852774743556,0.11846653948192688,0.12448163895798019,0.02817829645216563,0.017796788000061313,0.10657357912538906,0.08530225887260326,0.14669338017985986,0.14316481615869744,0.06420194846137402,0.022450205050660692,0.13885957609814162,0.12494526503248947,0.14940097978199773,0.14719420733571514,0.1208868513712122,0.034021100436262997,0.14584836816780797,0.14094751850436102
1,0.16048565445418794,0.19957410881214938,0.19450255512597334,0.03991957569148277,0.12423953983214797,0.14130705595621817,0.12423953983214797,0.14387857125649517,0.0997217634810523,0.08430355354867396,0.11724389762013787,0.16400957388273407,0.0353647167061821,0.03444731755273492,0.012293020925645418,0.01346913258409808,0.03484697082451583,0.039931637513351805,0.10832454710820333,0.12266704626914204,0.04162066481343475,0.015327691699178879,0.076349456424146,0.07023856622011047,0.1761285328391788,0.17903812091175844,0.0469586616432133,0.018461275583517664,0.13654591107202138,0.11835079041219032,0.18994803135688046,0.19021530667221578,0.08126541430598402,0.0243735598656995,0.17428070474188262,0.1609557221665159,0.18874854209347666,0.1891646267768925,0.1557630104694946,0.038757076736399075,0.1829002950804311,0.17966457167382158
2,0.11224268121986143,0.13812180584604913,0.14342381931398487,0.03363346184333854,0.09042028649808007,0.09528938521896296,0.09042028649808007,0.1044785875862651,0.08351371278119132,0.06919394051112045,0.0933147372108248,0.14146220583706226,0.03822645814688304,0.035666875105565155,0.011889564886161198,0.01224585067138799,0.030533067296990353,0.03363797674663029,0.08620351804168327,0.08422938846390474,0.01783532513993415,0.01392200619193494,0.059217487436492876,0.052817667904519014,0.12736455875589203,0.12752016207374475,0.024280398322370018,0.016658787328939943,0.1025202469558796,0.08022974581165718,0.13782342449976343,0.13481646464502103,0.04697944600718891,0.021731518541551805,0.12563744467889895,0.11135886653203844,0.13464452576046115,0.13378751835184705,0.09977984621203861,0.03338277107381978,0.13178172044406647,0.1273779762827717
3,0.1121603766965379,0.1400919652061433,0.14165241558191874,0.036068869573547414,0.09117878471968932,0.10140827021439613,0.09117878471968932,0.09442113421615617,0.07391110554453878,0.08627131806045438,0.11361118094963787,0.14646428311256277,0.03112397548884898,0.02931738410923457,0.012473671571726052,0.013510817900057141,0.037235627636871334,0.03613953821369108,0.06334234628975567,0.0687596977147572,0.019375572533954933,0.014836563641279965,0.06786088470531666,0.05872832057747991,0.11657785884506702,0.12236397112333729,0.02533873077122297,0.017076281020236145,0.10281575599497479,0.08340336021797436,0.13115940123800335,0.13130832029595718,0.05914065168094934,0.021280936871531222,0.12564509129441517,0.1125100928346537,0.13174909159200576,0.13321070509558175,0.10243122095220848,0.031806005950338015,0.13180728379437537,0.12601125986704884
4,0.18650859011398818,0.2529159642689999,0.2577956695185491,0.05666980064631899,0.09220748648771997,0.0989812531330013,0.09220748648771997,0.09911525272919283,0.08502671110788282,0.07614649764453106,0.17507965270615777,0.2327449185315485,0.029690051838807435,0.030980813739695894,0.013045651222850762,0.012866047638657077,0.05421934830995497,0.05673853147486038,0.09358289890860488,0.11273324161266575,0.04166741293237804,0.014694588900014757,0.11971473072565787,0.09910032727742273,0.1852368342256473,0.20487123453561587,0.04740766890400894,0.017518538307708553,0.198598020977262,0.17466737598193247,0.21751323248325946,0.2252849192278234,0.11287783766351916,0.02287647135383071,0.2331864558324081,0.21899622723778978,0.21967366056748372,0.22766614770993754,0.18853137261183325,0.03637419187175996,0.2405007732559374,0.22890772259421774
5,0.1865207165344419,0.22570037304854235,0.2207104444819818,0.05571199606879289,0.09725572931294475,0.1106956216986913,0.09725572931294475,0.0973122465797385,0.0864084378896596,0.11406299819484339,0.1789004348405578,0.22822580941318332,0.031635648874690926,0.034231091857984376,0.012757133895851773,0.01227321658753638,0.061085704103392494,0.05570616487126828,0.07633986571717064,0.0932511637009417,0.04727132091006167,0.01395440420859712,0.13566059381913548,0.10151136487585688,0.18318917800676168,0.19692424471171022,0.051883229696548,0.01683130704758267,0.19263231774619557,0.16385683357813466,0.21659014813402597,0.2218699876431924,0.09544735402420426,0.022263059714179835,0.23114181224704552,0.21400330447077204,0.2199811087060373,0.2247177738834305,0.18347279320834978,0.03549894127006906,0.22691886344588336,0.2199778170629394
6,0.12720426172917781,0.18880414361704573,0.20723160574891036,0.037225022107088154,0.12553824004371486,0.13103720124604495,0.12553824004371486,0.09835482181583878,0.12659369705901424,0.08087544324683713,0.13377429837903143,0.1790328768065852,0.02789284978587504,0.027415889114859832,0.012817213143426019,0.013380813384716545,0.035618374705038536,0.03726338499813163,0.06660041533627242,0.07582039949729177,0.02974474614498466,0.01510546401551451,0.07994748984366133,0.06876976950441636,0.13763069236228856,0.13885964343868154,0.04588643148567684,0.01777906625268131,0.1292850321158617,0.10195140777898941,0.1513798263946517,0.15258277148262722,0.08739124446851682,0.02253379521090903,0.1487404121978483,0.13381603825297186,0.15338939014173436,0.15456354232963257,0.13075047160692926,0.03358548095171897,0.15475160506503474,0.1470920077646468
7,0.1668265101895051,0.23026056665631894,0.24396927375522925,0.05855502174550198,0.12041838430402398,0.12946373182686785,0.12041838430402398,0.11752593042327028,0.10531614174352864,0.11321618849690158,0.13493425618539212,0.19604595980856132,0.023424364127926218,0.02434266374130222,0.013435720489928003,0.012923003916185092,0.060685915308313174,0.05881785315975772,0.062454036164458465,0.07439150516439774,0.042734354743532585,0.01461345744246078,0.12219908394582712,0.10434607620560382,0.1473438428562765,0.1640318132929322,0.058963994634681036,0.017360475933325216,0.18017058690270044,0.16403846106305903,0.18965144742769294,0.19326169049075903,0.11036691354520795,0.022336291637871986,0.21060539991172464,0.19831008189760832,0.19431445487586796,0.19711759004940957,0.1692403673664967,0.03386283691975677,0.20612237540731376,0.19830754448846652
8,0.15047748524903254,0.21932778455401283,0.2514403195076973,0.05360154869146775,0.10733881784622332,0.11140804992528021,0.10733881784622332,0.08812925181891995,0.09697249141036071,0.08166608367796721,0.11501337963199224,0.1808806426983377,0.023230161931483896,0.026436352200719472,0.015442817653720822,0.013691301621499936,0.055158738998061604,0.053651809206860204,0.0585674772824108,0.07470462518914812,0.04814886551514866,0.015412311056540506,0.11029427989181922,0.09596532401882862,0.14565767009627162,0.15604169047065714,0.058209989046238246,0.018048338209292178,0.1646378719386428,0.14702930894054209,0.1685314772726994,0.17118157824270727,0.10824392867765062,0.02309491301839977,0.18346153892191155,0.1762286970402245,0.17114164901081147,0.1723178180035238,0.16258495551532792,0.03533375309131778,0.18383863366166947,0.18044948894612461
9,0.189045557347856,0.2609280005697469,0.2874865612184108,0.049194666468382296,0.11569122271855302,0.12007350763429012,0.11569122271855302,0.10356140461875904,0.11745765290036272,0.12507340480846518,0.16202815368982043,0.22731861209628668,0.029643998608017638,0.03227878266925692,0.013222359587184634,0.012672515960256443,0.04857759824687395,0.049289473959660476,0.08829713932101202,0.12482906801736278,0.03863489604598731,0.014641205627749619,0.1128780567743871,0.08864171804117554,0.18725363054705008,0.21144949858151882,0.0538710149244183,0.017914398335306156,0.19350740975102346,0.154075231195791,0.21737996636007947,0.2266568864998548,0.11554488697521349,0.023971885946266362,0.2291501560223995,0.2041552224643503,0.21946984740820835,0.22638369902591315,0.18699875825846363,0.03865199497800045,0.2312280198060796,0.217661378737296
