Network,Rn,Re,Attacking Model,Rn_attacked,Re_attacked,Rn_PA,Re_PA,Rn_BPA,Re_BPA,Rn_CPA,Re_CPA,Rn_CcPA,Re_CcPA
Polbooks,11.58095238,25.2244898,Betweenness,7.5,11.2568306,12.13333333,25.45351474,12.65714286,25.45124717,12.73333333,25.73015873,12.4952381,25.71201814
Polbooks,11.58095238,25.2244898,Closeness,6.726190476,15.93121693,12.45714286,25.61451247,11.60952381,25.49433107,12.23809524,25.45351474,12.28571429,25.430839
Polbooks,11.58095238,25.2244898,Clustering,10.45238095,22.90962099,11.88571429,25.85260771,12.07619048,25.46712018,12.13333333,25.37188209,12.31428571,25.94557823
Polbooks,11.58095238,25.2244898,Degree,6.130952381,9.969465649,12.71428571,25.49886621,12.6952381,25.51473923,12.61904762,25.8185941,12.13333333,25.3446712
soc-firm-hi-tech,6.393939394,13.71544715,Betweenness,3.846153846,5.676470588,6.757575758,13.67479675,7.090909091,13.56097561,6.939393939,13.4796748,6.727272727,13.39837398
soc-firm-hi-tech,6.393939394,13.71544715,Closeness,4.538461538,6.857142857,6.848484848,13.93495935,6.848484848,13.69918699,7.121212121,13.50406504,6.696969697,13.83739837
soc-firm-hi-tech,6.393939394,13.71544715,Clustering,5.846153846,12.81730769,6.303030303,13.68292683,6.666666667,13.70731707,6.606060606,13.99186992,6.636363636,13.46341463
soc-firm-hi-tech,6.393939394,13.71544715,Degree,4.115384615,6.457142857,6.939393939,13.5203252,6.878787879,13.48780488,6.696969697,13.73170732,6.575757576,13.71544715
soc-tribes,4.764705882,10.98684211,Betweenness,4.357142857,7.790697674,4.882352941,11.15789474,4.705882353,11.07894737,4.647058824,10.86842105,4.941176471,11
soc-tribes,4.764705882,10.98684211,Closeness,4.214285714,7.756097561,4.941176471,10.80263158,4.470588235,10.97368421,4.588235294,10.97368421,4.823529412,10.84210526
soc-tribes,4.764705882,10.98684211,Clustering,4.357142857,9.620689655,4.764705882,10.92105263,4.882352941,10.89473684,4.941176471,10.68421053,4.705882353,11.07894737
soc-tribes,4.764705882,10.98684211,Degree,4.285714286,7.43902439,4.941176471,10.94736842,4.882352941,10.67105263,4.823529412,10.71052632,4.941176471,11.17105263
Word adjacencies,12.35714286,25.49882353,Betweenness,9.033333333,13.25362319,12.54464286,25.28235294,11.83928571,24.98117647,12.5,25.03764706,12.91071429,24.99764706
Word adjacencies,12.35714286,25.49882353,Closeness,8.411111111,12.73076923,12.91964286,25.10588235,12.45535714,24.95764706,12.73214286,25.21411765,12.78571429,25.15529412
Word adjacencies,12.35714286,25.49882353,Clustering,10.72222222,21.30405405,12.69642857,25.19058824,12.50892857,25.55764706,13.01785714,25.24,12.13392857,25.19294118
Word adjacencies,12.35714286,25.49882353,Degree,8.777777778,11.5,12.75,24.97411765,12.82142857,25.11529412,12.44642857,25.18823529,12.49107143,24.76470588
