delta 	 N 	 E  	 cc 	 bc 	 density 	 pr 	 clc 	 hc 	 katz 
-1 	 1.0 	 1.0 	 0.015928141201588246 	 3.726572263646414e-05 	 0.001997997997997998 	 0.001 	 0.005666932197063758 	 7.005974206349216 	 0.03162117557535989
0.0 	 0.996 	 0.9959919839679359 	 0.9725202758134851 	 1.0098751034571163 	 1.0040120199228753 	 1.00401606425703 	 1.0051336204804102 	 1.000999419101033 	 1.0020058181150915
0.05 	 0.996 	 0.9959919839679359 	 0.9725202758134851 	 1.0098751034571163 	 1.0040120199228753 	 1.00401606425703 	 1.0051336204804102 	 1.000999419101033 	 1.0020058181150915
0.1 	 0.996 	 0.9959919839679359 	 0.9725202758134851 	 1.0098751034571163 	 1.0040120199228753 	 1.00401606425703 	 1.0051336204804102 	 1.000999419101033 	 1.0020058181150915
0.15 	 0.996 	 0.9959919839679359 	 0.9725202758134851 	 1.0098751034571163 	 1.0040120199228753 	 1.00401606425703 	 1.0051336204804102 	 1.000999419101033 	 1.0020058181150915
0.2 	 0.996 	 0.9959919839679359 	 0.9725202758134851 	 1.0098751034571163 	 1.0040120199228753 	 1.00401606425703 	 1.0051336204804102 	 1.000999419101033 	 1.0020058181150915
0.25 	 0.996 	 0.9959919839679359 	 0.9725202758134851 	 1.0098751034571163 	 1.0040120199228753 	 1.00401606425703 	 1.0051336204804102 	 1.000999419101033 	 1.0020058181150915
0.3 	 0.996 	 0.9959919839679359 	 0.9725202758134851 	 1.0098751034571163 	 1.0040120199228753 	 1.00401606425703 	 1.0051336204804102 	 1.000999419101033 	 1.0020058181150915
0.35 	 0.993 	 0.9914829659318637 	 0.9542248794651399 	 1.0190100415149017 	 1.005517943107734 	 1.007049345417924 	 1.0081100024108827 	 1.0009382775866047 	 1.0035037303531391
0.4 	 0.993 	 0.9914829659318637 	 0.9542248794651399 	 1.0190100415149017 	 1.005517943107734 	 1.007049345417924 	 1.0081100024108827 	 1.0009382775866047 	 1.0035037303531391
0.45 	 0.993 	 0.9914829659318637 	 0.9542248794651399 	 1.0190100415149017 	 1.005517943107734 	 1.007049345417924 	 1.0081100024108827 	 1.0009382775866047 	 1.0035037303531391
0.5 	 0.981 	 0.9779559118236473 	 0.9239294103677679 	 1.0463827597993627 	 1.0162245479537995 	 1.0193679918450542 	 1.020018040276336 	 1.0004717222554633 	 1.0096052440442929
0.55 	 0.981 	 0.9779559118236473 	 0.9239294103677679 	 1.0463827597993627 	 1.0162245479537995 	 1.0193679918450542 	 1.020018040276336 	 1.0004717222554633 	 1.0096052440442929
0.6 	 0.966 	 0.9594188376753507 	 0.9060771708796688 	 1.0718123034148332 	 1.0281803267978364 	 1.0351966873706018 	 1.0306790654138134 	 0.9952657193360624 	 1.0173773947472138
0.65 	 0.966 	 0.9594188376753507 	 0.9060771708796688 	 1.0718123034148332 	 1.0281803267978364 	 1.0351966873706018 	 1.0306790654138134 	 0.9952657193360624 	 1.0173773947472138
0.7 	 0.499 	 0.48847695390781565 	 0.5556213546574973 	 3.753160101911336 	 1.9637205211785327 	 2.0040080160320635 	 1.9284221499785343 	 0.957047795258969 	 1.4152954576063148
0.75 	 0.116 	 0.01753507014028056 	 0.0 	 0.33526125993363326 	 1.3131585509850285 	 8.620689655172406 	 0.5150124667359501 	 0.05075717349253067 	 2.933162041284281
0.8 	 0.116 	 0.01753507014028056 	 0.0 	 0.33526125993363326 	 1.3131585509850285 	 8.620689655172406 	 0.5150124667359501 	 0.05075717349253067 	 2.933162041284281
0.85 	 0.116 	 0.01753507014028056 	 0.0 	 0.33526125993363326 	 1.3131585509850285 	 8.620689655172406 	 0.5150124667359501 	 0.05075717349253067 	 2.933162041284281
0.9 	 0.116 	 0.01753507014028056 	 0.0 	 0.33526125993363326 	 1.3131585509850285 	 8.620689655172406 	 0.5150124667359501 	 0.05075717349253067 	 2.933162041284281
0.95 	 0.116 	 0.01753507014028056 	 0.0 	 0.33526125993363326 	 1.3131585509850285 	 8.620689655172406 	 0.5150124667359501 	 0.05075717349253067 	 2.933162041284281
