,Dolphins,Polbooks,Word adjacencies,Karate,USAir97,Circuits1,E. Coli,Barabasi_albert_graph,bio-celegans,bn-macaque-rhesus_brain_2,soc-tribes,fb-pages-food,bn-cat-mixed-species_brain_1,ca-sandi_auths,soc-firm-hi-tech
0,-0.04359402821531252,-0.127896009666719,-0.12934785343900138,-0.47561309768461457,-0.20787623081200438,-0.24869377980972532,-0.3410762913248029,-0.06928701485253906,-0.2233166438405537,-0.7697600913559981,-0.07918338094621843,-0.028203795222469928,-0.025391337049728915,-0.25580072036078527,-0.2557131450293245
1,0.03229158248380689,-0.1396368031178889,-0.14420318100363086,-0.490588869935413,-0.20095477904289535,-0.2648311920450702,-0.3384640441057372,-0.05195695533982471,-0.21429932535686722,-0.7769765595083495,-0.1744339335641545,-0.034816629194423514,-0.024291408010531475,-0.12480792214444227,-0.21426170022838215
2,0.07534979366689186,-0.14280662725468765,-0.1189020129541342,-0.3584770114942539,-0.19756401306940402,-0.24601135106565084,-0.3429515431608154,-0.04962853375141538,-0.21203900089605288,-0.7561321074274858,-0.04803876678876712,-0.015376577375802227,-0.020579352425861754,-0.20029895366218253,-0.3049825117618404
3,0.029139311089124785,-0.15174718104669666,-0.1191995539572756,-0.4764816093087475,-0.20929956513297548,-0.24346074162343967,-0.33487425020546946,-0.05405287191420119,-0.23303566751025773,-0.7348692572822054,-0.04890209158501892,-0.020458925899043568,-0.031000217959256008,-0.25139867457272413,-0.23696896308025997
4,-0.023280254777069846,-0.08507534468547306,-0.14454180756038787,-0.4680232982497123,-0.1926311538847645,-0.23416162605266866,-0.33647111127015444,-0.07941794590749769,-0.22488508995372955,-0.7701527838879074,-0.1353784910906124,-0.03189914684358208,0.01293541566807491,-0.31625175969486613,-0.3027068242470458
5,-0.07737587336919659,-0.10880123117492435,-0.16125736980453992,-0.46386590929307525,-0.215624064564153,-0.23612604343986932,-0.34583901763161945,-0.06364468199118975,-0.224783601828,-0.7651404373579134,-0.03396389981114093,-0.03929940823963112,-0.04695603102392039,-0.2711036738419415,-0.29280031318004385
6,0.022132979044627212,-0.09585155856672976,-0.0855791545421124,-0.5209276540700369,-0.20489149992608655,-0.2772801272079869,-0.34498922315008484,-0.06859902812346268,-0.2294622751615989,-0.7342959975243589,-0.11751237053201018,-0.0250956954299526,-0.04795085935492496,-0.2910565057034813,-0.20810112738653433
7,-0.1206450631370773,-0.13234917250637274,-0.12899329657609956,-0.40093584533924287,-0.2180769596826,-0.25054156536101535,-0.33474600791761233,-0.07523318919329355,-0.2239893229433792,-0.7564685961803504,-0.09442870632672111,-0.01817456734390044,-0.004614446350106505,-0.25813553811138457,-0.2931218816821098
8,0.06398574290921251,-0.15076306836972336,-0.12105938752287318,-0.45786572610813436,-0.20872736309506176,-0.24548605082375863,-0.34798682294771827,-0.08868590578570576,-0.22416447396455386,-0.790591106292328,-0.12231575708288521,-0.017693937933771442,-0.04746653865152396,-0.19977781892242194,-0.23709781672415906
9,-0.02174293646360605,-0.1151767622087004,-0.1169068372536518,-0.43004265691651344,-0.20073066842181825,-0.2373460973190715,-0.3386087877937611,-0.06454170167855872,-0.2254870108203218,-0.7479242790917939,0.04167575823695796,-0.030337740044139666,-0.023843398765016708,-0.23141709627143028,-0.2227976649331002
10,-0.016969668753928142,-0.13230207369617894,-0.09645244877018874,-0.4270364613160989,-0.2074999636018322,-0.22701802110686015,-0.3372690124483046,-0.04561910258420767,-0.2221061690719878,-0.7665865832416311,-0.19199697779844302,-0.008550422355448353,0.011168544923445723,-0.23745225878631265,-0.23839719044947924
11,-0.05570050361021776,-0.1216033244431972,-0.10521964491677506,-0.41749395830797775,-0.19779633241214156,-0.26523963491721625,-0.3372787741978801,-0.0735678053102484,-0.22171858547509316,-0.7377645550028614,0.05616224648985917,-0.021704251900863655,-0.0501563160868491,-0.17881450315555,-0.28972687621714716
