,facebook414,facebook348,aves-weaver-social,bio-SC-TS,CAG_mat72,ENZYMES123,ENZYMES8,reptilia-tortoise-network-bsv,reptilia-tortoise-network-cs,reptilia-tortoise-network-fi,reptilia-tortoise-network-lm,reptilia-tortoise-network-mc,reptilia-tortoise-network-pv,reptilia-tortoise-network-sg
0,0.3064210522142954,0.22269166051622497,0.20000295169108667,0.9211118566340593,0.04703047302068601,0.09116044563714684,0.016079112251829834,0.3253874106271273,0.393367169575193,0.4765607192805185,0.11814639838882747,0.040834845735026645,0.05826239207873018,0.01621621621621712
1,0.29947188819183174,0.20622646681087545,0.2110100183516451,0.9010314668522768,0.0018776690222534554,0.05806071323312759,-0.1049397121742515,0.350174985652214,0.4150803931470058,0.49784129759327217,0.25612252099654187,0.1522935779816511,0.04020871700429679,-0.06684491978609716
2,0.29850788825603486,0.21591181101730625,0.22761659578689236,0.905594880384893,0.019543979479558323,0.024610822831727126,-0.05958284140102292,0.32548940747381255,0.2580710533289685,0.4444003877120249,0.21277712186803066,0.04895104895104821,0.1922192095965824,-0.3548387096774195
3,0.290004655616822,0.2223056009254052,0.19395045575602293,0.9020688633909967,0.032520366117469085,0.08408942100832387,0.18134403209628894,0.4027242053181291,0.3945560879625412,0.4139633548054038,0.0703124999999998,-0.00873362445414839,0.24915981593506037,-0.39999999999999913
4,0.2623662125687358,0.2164770346100654,0.1495949271220628,0.905860940119722,0.013525456490419765,0.07581907799362142,-0.007184241019698623,0.314234991809929,0.27492676747684286,0.45936124819592256,0.10527590234452917,0.14386792452830158,0.16401047920532685,0.09433962264150947
5,0.2946892780151491,0.22493311794949564,0.16384035277775374,0.900729005554499,0.07185091618435703,-0.008101101749838217,0.12738942374773343,0.2844934152102908,0.27599112465581316,0.4256901778719662,0.08931197024736146,-0.08641975308641979,0.012459534743657597,0.12218649517684876
6,0.28195099325937945,0.21038566698766847,0.14524536846990851,0.8955487919005057,0.08310047524487327,0.14062033999403445,-0.11130939103279071,0.32230260720344805,0.37444315528626504,0.4603286154799992,-0.006509375277704061,0.1349419124218057,0.165762330742533,0.16906474820143882
7,0.32119784801135054,0.22833891555124658,0.17019297395560648,0.9034692425388063,0.0009290674366243287,-0.00824742268041221,-0.048998310403088705,0.33434869569519327,0.4187206487180235,0.46351157058150866,0.028722546704190548,0.24242424242424235,0.006523534269199076,0.21250000000000066
8,0.2648340155242465,0.2200145979696401,0.1895029276912231,0.9008152901517472,0.06335041635566467,0.03230011587485539,-0.14495571397710108,0.30954791727394965,0.3738993834190785,0.42697966891289524,0.09037550674983927,0.15502793296089373,-0.0547263681592039,-0.12299465240641669
9,0.2603566012759294,0.2088029413002859,0.21731223469598682,0.8997787987982262,0.04786619041741961,0.02288451303885056,0.05755338572676119,0.2782065286553233,0.38305338154301544,0.4916685814400318,0.14875920833757605,-0.2057502246181494,-0.024330900243308848,-0.2580645161290317
10,0.29901983267203963,0.21388150712991014,0.1915102141198589,0.9109227384742723,0.005583646127338155,0.1340823970037457,0.11022147607671023,0.32752076469210706,0.32299645348792116,0.4251140637761685,0.015795104147001936,-0.21484918793503477,0.039521881627144706,0.30496453900709247
11,0.28717993648835843,0.22592826185795684,0.1527528628838592,0.9128285737465898,0.05426178960903775,-0.04736995059575693,-0.0026645350386353796,0.2880345574076764,0.524558222085037,0.442490069261181,0.1330308993405531,0.09869646182495423,0.07964885300525444,0.09233791748526576
12,0.2676843726524354,0.2012828487829024,0.20957313084355617,0.8943368766379599,0.08172333697896346,0.058060713233126636,0.12913992297817728,0.2654941288321993,0.3370688533125082,0.4415886089250691,0.08509291162352382,0.0009560229445509592,0.1070417126674028,-0.13207547169811412
