G2 Nodes 	 G2 Edeges 	 G2P Nodes 	 G2P Edges 	 NewG2P Nodes 	 NewG2P Edges 	 time of betweenness of g2 	 time of betweenness of intrinsic(g2) 	 time of betweenness of incremental intrinsic(g2) 
1387 	 1648 	 1087 	 1322 	 965 	 1168 	 3.630096912384033 	 2.112945795059204 	 1.687549352645874 
1387 	 1648 	 1166 	 1411 	 1087 	 1322 	 3.6688249111175537 	 2.447533130645752 	 2.1322555541992188 
1387 	 1648 	 1200 	 1448 	 1166 	 1411 	 3.6781930923461914 	 2.607318639755249 	 2.5051491260528564 
1387 	 1648 	 1252 	 1504 	 1200 	 1448 	 3.6279852390289307 	 2.951726198196411 	 2.739871025085449 
1387 	 1648 	 1286 	 1539 	 1252 	 1504 	 3.8510780334472656 	 3.235828161239624 	 3.070904016494751 
1387 	 1648 	 1304 	 1560 	 1286 	 1539 	 3.686635971069336 	 3.3725552558898926 	 3.21528697013855 
1387 	 1648 	 1318 	 1576 	 1304 	 1560 	 3.898405075073242 	 3.5844943523406982 	 3.403047561645508 
1387 	 1648 	 1318 	 1576 	 1318 	 1576 	 3.829606771469116 	 3.508620023727417 	 3.6856603622436523 
1387 	 1648 	 1325 	 1585 	 1318 	 1576 	 3.768207550048828 	 3.424689531326294 	 3.37770414352417 
1387 	 1648 	 1332 	 1593 	 1325 	 1585 	 3.7203478813171387 	 3.419125556945801 	 3.416571855545044 
1387 	 1647 	 1332 	 1592 	 1332 	 1593 	 3.9349985122680664 	 3.8881704807281494 	 3.5656256675720215 
1387 	 1647 	 1337 	 1596 	 1332 	 1592 	 4.050969362258911 	 3.6081430912017822 	 3.9921364784240723 
1387 	 1647 	 1344 	 1603 	 1337 	 1596 	 4.032775402069092 	 3.677083969116211 	 3.8070363998413086 
1387 	 1647 	 1343 	 1602 	 1344 	 1603 	 4.156638860702515 	 3.647306203842163 	 3.7461535930633545 
1387 	 1645 	 1348 	 1606 	 1343 	 1602 	 3.884239673614502 	 3.596388339996338 	 3.658130645751953 
1387 	 1644 	 1351 	 1607 	 1348 	 1605 	 3.868987798690796 	 3.6591744422912598 	 3.641422748565674 
1387 	 1644 	 1356 	 1613 	 1351 	 1606 	 3.987360715866089 	 3.8697633743286133 	 3.693396806716919 
1387 	 1644 	 1358 	 1615 	 1356 	 1612 	 4.093390226364136 	 3.770782470703125 	 3.9916138648986816 
1387 	 1643 	 1353 	 1611 	 1358 	 1614 	 3.848220109939575 	 3.7015199661254883 	 3.810494899749756 
