G2 Nodes 	 G2 Edeges 	 G2P Nodes 	 G2P Edges 	 NewG2P Nodes 	 NewG2P Edges 	 time of betweenness of g2 	 time of betweenness of intrinsic(g2) 	 time of betweenness of incremental intrinsic(g2) 
1387 	 1646 	 1083 	 1322 	 970 	 1190 	 4.265921354293823 	 2.4871444702148438 	 1.823455572128296 
1387 	 1645 	 1168 	 1413 	 1082 	 1320 	 4.863036632537842 	 2.8883848190307617 	 2.417750597000122 
1387 	 1644 	 1217 	 1467 	 1167 	 1410 	 4.397302150726318 	 3.3587841987609863 	 3.040342092514038 
1387 	 1645 	 1275 	 1527 	 1217 	 1466 	 4.392693281173706 	 3.4366562366485596 	 3.2766988277435303 
1387 	 1644 	 1298 	 1550 	 1275 	 1527 	 4.745779037475586 	 3.760546922683716 	 3.601937770843506 
1387 	 1644 	 1323 	 1578 	 1298 	 1549 	 4.492502689361572 	 3.8822147846221924 	 3.8180389404296875 
1387 	 1644 	 1334 	 1589 	 1323 	 1577 	 4.551412343978882 	 4.188309192657471 	 4.063699007034302 
1387 	 1642 	 1336 	 1591 	 1334 	 1588 	 4.581910610198975 	 4.096596717834473 	 4.257594347000122 
1387 	 1642 	 1336 	 1592 	 1336 	 1590 	 4.361850738525391 	 3.974649667739868 	 4.161146402359009 
1387 	 1639 	 1340 	 1593 	 1336 	 1591 	 4.439804553985596 	 3.982187509536743 	 3.9523634910583496 
1387 	 1638 	 1337 	 1590 	 1340 	 1590 	 4.211299180984497 	 4.357587575912476 	 4.020123243331909 
1387 	 1639 	 1336 	 1590 	 1337 	 1587 	 4.44508171081543 	 4.150013208389282 	 4.213857173919678 
1387 	 1640 	 1345 	 1599 	 1336 	 1588 	 4.580385684967041 	 4.196632385253906 	 4.25492525100708 
1387 	 1640 	 1356 	 1610 	 1345 	 1598 	 4.580026626586914 	 4.299526929855347 	 4.144947052001953 
1387 	 1640 	 1349 	 1603 	 1356 	 1609 	 4.73254919052124 	 4.164308547973633 	 4.26295018196106 
1387 	 1641 	 1357 	 1611 	 1349 	 1602 	 4.843145132064819 	 4.201444625854492 	 4.507271766662598 
1387 	 1641 	 1355 	 1609 	 1357 	 1611 	 4.549526691436768 	 4.468471050262451 	 4.304853439331055 
1387 	 1641 	 1359 	 1613 	 1355 	 1609 	 4.508933067321777 	 4.526851654052734 	 4.623109579086304 
1387 	 1641 	 1353 	 1607 	 1359 	 1613 	 4.421276092529297 	 4.346404314041138 	 4.4281792640686035 
