Network,Rn,Re,Attacking Model,Rn_attacked,Re_attacked,Rn_HD,Re_HD,Rn_HB,Re_HB,Rn_HClo,Re_HClo,Rn_HClu,Re_HClu
Polbooks,11.67619048,25.74376417,Closeness,7.142857143,14.26984127,10.21359223,25.96371882,10.74757282,25.47845805,11.03921569,25.95238095,11.29411765,26.06802721
Polbooks,11.67619048,25.74376417,Clustering,10.4047619,23.18950437,12.53333333,26.32879819,11.82857143,25.79138322,12.08571429,25.99773243,12.33333333,25.88888889
Polbooks,11.67619048,25.74376417,Degree,6.404761905,10.24427481,11.0776699,26.53514739,11,25.82539683,9.712871287,25.95918367,9.147058824,25.97959184
soc-firm-hi-tech,6.848484848,13.96747967,Betweenness,4.807692308,5.617647059,5.419354839,13.89430894,6.09375,13.80487805,6.096774194,13.53658537,6.484848485,13.89430894
soc-firm-hi-tech,6.848484848,13.96747967,Closeness,4.5,6.571428571,5.709677419,14.09756098,6.03125,14.2195122,6.28125,13.89430894,6.363636364,13.68292683
soc-firm-hi-tech,6.848484848,13.96747967,Clustering,5.961538462,12.98076923,5.96969697,13.68292683,6.575757576,13.73170732,6.545454545,13.67479675,6.545454545,13.97560976
soc-firm-hi-tech,6.848484848,13.96747967,Degree,5.461538462,6.4,5.65625,14,6.40625,13.65853659,5.903225806,13.71544715,6.363636364,13.90243902
soc-tribes,4.823529412,11.19736842,Betweenness,4.142857143,7.558139535,4.705882353,10.80263158,4.588235294,11.01315789,4.823529412,11,4.235294118,10.80263158
soc-tribes,4.823529412,11.19736842,Closeness,4.214285714,7.609756098,4.352941176,10.80263158,4.588235294,10.80263158,4.941176471,11.05263158,4.705882353,11
soc-tribes,4.823529412,11.19736842,Clustering,4.357142857,9.396551724,4.823529412,10.92105263,4.352941176,10.90789474,4.235294118,11.05263158,4.941176471,10.72368421
soc-tribes,4.823529412,11.19736842,Degree,4.071428571,7.87804878,4.823529412,11.01315789,4.647058824,10.89473684,4.764705882,10.90789474,4.823529412,11.26315789
Word adjacencies,12.76785714,25.66823529,Betweenness,8.711111111,13,10.46601942,25.61411765,10.02941176,25.72705882,9.554455446,25.41411765,12.08928571,25.96941176
Word adjacencies,12.76785714,25.66823529,Closeness,8.866666667,12.86923077,10.17757009,25.65176471,10.21698113,25.42352941,10.77884615,26.24705882,11.26785714,25.79764706
Word adjacencies,12.76785714,25.66823529,Clustering,11.11111111,20.86148649,11.54464286,25.58823529,11.41071429,25.73411765,11.78571429,25.86823529,11.69642857,25.31764706
Word adjacencies,12.76785714,25.66823529,Degree,7.377777778,10.79824561,9.323809524,25.85411765,9.650943396,25.12941176,10.49019608,25.61411765,12.22321429,25.79058824
