,GCC,ACC,ASP,h,diam,g,d,cl,b,PR
0,0.015541519639834961,0.21164149391862885,3.5790861869349904,433.04226279223013,9,0.6239495375010886,0.003057614211124094,0.2561328408888205,0.0014697715204288594,0.0006389776357827455
1,0.032321899736147755,0.03532689734007607,3.4001158916413154,5.410946361245762,8,0.768560504321173,0.0006715375285824268,0.0031354367873800237,1.3631333923919801e-05,0.0006653359946773342
2,0.06109979633401222,0.016519913119496736,2.1538461538461537,1.161230626879482,3,0.8179127930615975,0.00043758192613154443,0.0007590569602442659,6.738150540303228e-07,0.000693962526023609
3,0.13043478260869565,0.002175489485134155,1.3333333333333333,0.11022480058013052,2,0.9427047106007015,0.00010314367176736682,7.648068178668681e-05,1.528665862898742e-08,0.0007251631617113957
4,1.0,0.002277904328018223,1.0,0.03644646924829157,1,0.9743779908530665,4.962000309259554e-05,2.7694885447030068e-05,0.0,0.0007593014426727898
5,1.0,0.002390438247011952,1.0,0.036653386454183264,1,0.9736672358186301,5.337501667969271e-05,2.9229175800784094e-05,0.0,0.0007968127490039512
6,1.0,0.002514668901927913,1.0,0.038558256496227995,1,0.9722987266993972,5.906940373656171e-05,3.234753061764091e-05,0.0,0.0008382229673093183
7,1.0,0.002652519893899204,1.0,0.040671971706454466,1,0.9707801776767293,6.572615666298913e-05,3.599289531544643e-05,0.0,0.0008841732979664236
8,1.0,0.002806361085126286,1.0,0.04303086997193639,1,0.9690854826495613,7.3575009722412e-05,4.0291076752749424e-05,0.0,0.0009354536950420913
9,1.0,0.0029791459781529296,1.0,0.041708043694141016,1,0.9699106256206554,7.897007231684373e-05,4.145928796634293e-05,0.0,0.0009930486593842961
10,1.0,0.0031746031746031746,1.0,0.04021164021164021,1,0.9707045391255917,8.519415299076316e-05,4.2597076495381575e-05,0.0,0.0010582010582010513
11,1.0,0.0033975084937712344,1.0,0.03850509626274066,1,0.9711049991910693,8.988117708389509e-05,4.365657172646332e-05,0.0,0.0011325028312570663
12,1.0,0.0036540803897685747,1.0,0.03654080389768575,1,0.971911563872587,9.80363031401325e-05,4.4561955972787506e-05,0.0,0.0012180267965895154
13,1.0,0.003952569169960474,1.0,0.039525691699604744,1,0.9706851119894597,0.00011124205227681194,5.2144712004755604e-05,0.0,0.0013175230566534982
14,1.0,0.00430416068866571,1.0,0.043041606886657105,1,0.9680774748923959,0.00013192829697059648,6.184138920496706e-05,0.0,0.0014347202295552416
15,1.0,0.004724409448818898,1.0,0.047244094488188976,1,0.9649606299212599,0.00015897066494448446,7.451749919272709e-05,0.0,0.0015748031496063027
16,1.0,0.005235602094240838,1.0,0.05235602094240838,1,0.9611692844677138,0.00019526721097401725,9.153150514407063e-05,0.0,0.0017452006980802931
17,1.0,0.005870841487279843,1.0,0.05870841487279843,1,0.9580203269995582,0.00023790338053029432,0.00011511453896627144,0.0,0.0019569471624265983
18,1.0,0.0066815144766146995,1.0,0.066815144766147,1,0.9522235792801208,0.00030822462615335666,0.00014914094813872094,0.0,0.0022271714922048845
19,1.0,0.007751937984496124,1.0,0.06718346253229975,1,0.9513658176448875,0.00037487782999290407,0.00017405042106813403,0.0,0.0025839793281653665
