,GCC,ACC,ASP,h,diam,g,d,cl,b,PR
0,0.3963921942964996,0.625217249162503,2.7381247042550867,134.351004016064,6,0.6472064173911072,0.0386925344884068,0.37600596215217463,0.005267044558348747,0.0030120481927710862
1,0.4258670960442143,0.4096561156943212,3.7606013990073435,68.30073914243202,11,0.6397221417570347,0.021549259675479583,0.18828211462485756,0.005915394024476201,0.0031347962382445196
2,0.3726679104477612,0.35524649459092883,6.234820252211557,39.417973212336065,16,0.5762164124909224,0.013500482160077145,0.0955578244058288,0.009803428129952014,0.003267973856209153
3,0.3140794223826715,0.32025565584549376,4.413859989419856,18.433288762810943,11,0.5373946109370861,0.010238907849829351,0.05142862899734449,0.0020840432640408823,0.0034129692832764497
4,0.3963170536429143,0.26367331081616796,3.574741200828157,9.495764077192652,8,0.5309675947056138,0.008013312852022529,0.027768386148494445,0.001021763234573631,0.0035714285714285704
5,0.4825174825174825,0.20833698137068923,5.6782051282051285,4.608122485088777,13,0.5450423812339839,0.006955591225254147,0.013581172653823312,0.0005366394574521949,0.003745318352059929
6,0.46875,0.16351706036745406,3.779220779220779,2.697425321834772,9,0.5468230241273317,0.005819924683327628,0.008922670649374635,0.00014412724101186958,0.003937007874015736
7,0.5242718446601942,0.16016597510373445,2.8484848484848486,1.9961272475795289,6,0.5660678848483287,0.005567081604426003,0.0073042913942425545,5.092681007193412e-05,0.004149377593360992
8,0.31451612903225806,0.08728070175438596,2.8484848484848486,1.4837719298245609,6,0.5428680396643784,0.004443929206275601,0.005710774074770809,4.052370996103568e-05,0.004385964912280694
9,0.2033898305084746,0.03720930232558139,1.8666666666666667,1.0124031007751941,4,0.5657253599114064,0.0036513801347533145,0.004313325834734218,1.4693682634822195e-05,0.004651162790697685
10,0.14285714285714285,0.01485148514851485,1.3333333333333333,0.6534653465346535,2,0.605263157894737,0.0028077434609132556,0.003074561187462026,5.418452292990493e-06,0.004950495049504936
11,0.0,0.0,1.3333333333333333,0.47619047619047616,2,0.6425345205833011,0.0023077789035235844,0.002457878344403166,2.4080124205280656e-06,0.005291005291005306
12,0.0,0.0,1.0,0.2840909090909091,1,0.7159090909090908,0.0016233766233766235,0.0016233766233766254,0.0,0.005681818181818169
13,0.0,0.0,1.0,0.22085889570552147,1,0.7791411042944786,0.0013633265167007499,0.0013633265167007497,0.0,0.006134969325153356
14,0.0,0.0,1.0,0.13333333333333333,1,0.8666666666666666,0.0008948545861297539,0.0008948545861297539,0.0,0.006666666666666686
15,0.0,0.0,1.0,0.043795620437956206,1,0.9562043795620437,0.00032202662086732505,0.00032202662086732505,0.0,0.007299270072992677
16,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.008064516129032253
17,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.009009009009009025
18,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.01020408163265307
19,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.011764705882352908
20,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.013888888888888846
