,GCC,ACC,ASP,h,diam,g,d,cl,b,PR
0,0.029729280850357084,0.05860435616666208,3.2142925851703406,165.92626666666644,6,0.36786854460093893,0.01195190380761523,0.31399154660932305,0.004446370652952493,0.001999999999999999
1,0.004492138757174944,0.007908596033596034,4.517363998230871,114.01623346560918,10,0.3296800513384672,0.007907098121085594,0.22002427475185812,0.007236244442309208,0.002083333333333334
2,0.004261363636363636,0.006480331262939959,5.5140422589632525,86.23325186890432,13,0.316848614879788,0.0065264753244292885,0.17081951029609221,0.009181556722851583,0.0021739130434782596
3,0.0070921985815602835,0.008441558441558441,6.667227826791388,61.717282458703096,16,0.3372982158028887,0.005539449161317043,0.1251010756325454,0.010584123129759229,0.002272727272727273
4,0.004087193460490463,0.0031746031746031746,8.680033416875522,38.53779687352409,21,0.35197163611207194,0.004693715194908512,0.0786996729968166,0.012247803279080774,0.0023809523809523825
5,0.0071090047393364926,0.003333333333333333,15.524690531950485,15.788337295726794,47,0.3726336477987421,0.0039849624060150374,0.02701952699885241,0.013678259719650887,0.002499999999999999
6,0.0,0.0,7.8707317073170735,3.0365775232181837,21,0.38448351168377376,0.0033467573948062768,0.005775918032395706,0.0003124198652597487,0.002631578947368426
7,0.0,0.0,4.466666666666667,1.6332517636684305,10,0.42024456521739134,0.0028474156607861344,0.003762298744974487,3.955224267699956e-05,0.0027777777777777835
8,0.0,0.0,3.0,1.068487394957983,7,0.4868409586056645,0.002342529932326913,0.002763502066599415,1.047284913860816e-05,0.0029411764705882314
9,0.0,0.0,2.3333333333333335,0.7356250000000003,5,0.5565399484536083,0.0019004702194357367,0.002127193056856067,4.374420851323909e-06,0.003125000000000005
10,0.0,0.0,1.6666666666666667,0.44555555555555554,3,0.6240740740740741,0.0014046822742474917,0.0014585655890003708,6.733855581243967e-07,0.0033333333333333205
11,0.0,0.0,1.0,0.2714285714285714,1,0.7285714285714286,0.0009728622631848438,0.0009728622631848445,0.0,0.0035714285714285618
12,0.0,0.0,1.0,0.14615384615384616,1,0.8538461538461538,0.0005643005643005643,0.0005643005643005645,0.0,0.003846153846153853
13,0.0,0.0,1.0,0.041666666666666664,1,0.9583333333333333,0.00017433751743375174,0.0001743375174337517,0.0,0.004166666666666649
14,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.004545454545454521
15,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.005000000000000004
16,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0055555555555555376
17,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0062499999999999795
18,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.007142857142857119
19,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.00833333333333331
