,GCC,ACC,ASP,h,diam,g,d,cl,b,PR
0,0.019026204918277705,0.5582193050809927,1.9937392979452055,257.7558593749982,3,0.3360053578172205,0.010121086105675147,0.5022147711510349,0.0019485084273435582,0.0019531250000000004
1,0.0456953642384106,0.03252032520325205,9.63751035005197,61.524744225448174,26,0.23041721435178425,0.0055304422697994805,0.10143726840381652,0.016568550822047556,0.002032520325203251
2,0.015789473684210527,0.00805084745762712,11.770275126781936,25.961748402743417,30,0.2272875158801475,0.00492101191118788,0.0423409337598742,0.010348327786212669,0.002118644067796611
3,0.0,0.0,9.761316872427983,18.539655885050642,19,0.2321329161307661,0.004522889154877067,0.03334294164627349,0.005679174651762605,0.002212389380530973
4,0.0,0.0,10.400483968542044,4.688887559542517,28,0.2232854573733839,0.004092549626192318,0.0074326245584471415,0.0005394781281038226,0.0023148148148148147
5,0.0,0.0,4.883333333333334,3.1175992427206025,13,0.26170492695762637,0.0037913684359719368,0.005699666611937154,7.847190653892212e-05,0.0024271844660194173
6,0.0,0.0,3.4393939393939394,2.392265954000653,8,0.3302208287895311,0.0034187588078709746,0.0047604399930841115,4.426519771788308e-05,0.002551020408163268
7,0.0,0.0,3.3333333333333335,1.8511840757808493,8,0.39339918711735355,0.003028722140103759,0.003945307323742939,3.094129691816851e-05,0.002688172043010755
8,0.0,0.0,3.3333333333333335,1.4883725649350652,8,0.4327427380311996,0.002735690235690236,0.003412318248700133,2.8443778443778447e-05,0.0028409090909090845
9,0.0,0.0,3.0,1.1599971313826742,7,0.4798597374572918,0.002438758053361482,0.0029222572371755164,2.0681462460663857e-05,0.003012048192771083
10,0.0,0.0,3.0,0.7949328449328448,7,0.5071718710332572,0.002081787451562371,0.0023139802148273605,8.710129548216882e-06,0.0032051282051282015
11,0.0,0.0,3.0,0.4982387475538161,7,0.5871731008717311,0.0015534529021324671,0.0016184624334956176,4.545107759635223e-06,0.0034246575342465843
12,0.0,0.0,1.0,0.33088235294117646,1,0.6691176470588235,0.0012209680920338614,0.001220968092033863,0.0,0.0036764705882352893
13,0.0,0.0,1.0,0.1984126984126984,1,0.8015873015873016,0.0007904888382976032,0.0007904888382976027,0.0,0.00396825396825397
14,0.0,0.0,1.0,0.04310344827586207,1,0.9568965517241379,0.00018659501418122107,0.00018659501418122107,0.0,0.004310344827586183
15,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.004716981132075505
16,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.005208333333333363
17,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0058139534883721025
18,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0065789473684210245
19,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.00757575757575757
20,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.008928571428571404
