,GCC,ACC,ASP,h,diam,g,d,cl,b,PR
0,0.3963921942964996,0.625217249162503,2.7381247042550867,134.351004016064,6,0.6472064173911072,0.0386925344884068,0.37600596215217463,0.005267044558348747,0.0030120481927710862
1,0.38885297377170297,0.41175191405983524,3.3999071198444257,73.19137184654426,9,0.6323456352538197,0.021273239880917175,0.20726198213988076,0.005142501282919851,0.003134796238244522
2,0.360481444332999,0.3312034406445593,4.594152268843744,45.40343703137826,12,0.5657318482948736,0.012600450016072002,0.12735440994873964,0.006672207278079478,0.003267973856209156
3,0.40534682080924855,0.22904816078877524,6.739181286549708,19.926213028311004,18,0.5184861247112286,0.008392164196549628,0.053857116490226314,0.006708493735499136,0.0034129692832764575
4,0.3270868824531516,0.18369047619047615,8.08992628992629,8.87579384590912,22,0.5042828685258964,0.006426011264720942,0.023594367149962093,0.003998828586900065,0.0035714285714285696
5,0.3473684210526316,0.11997503121098627,3.880434782608696,2.6418732536710077,9,0.5172933274747348,0.005040691616682155,0.008135162666910358,0.0001595041238882663,0.003745318352059937
6,0.18421052631578946,0.05774278215223097,4.252747252747253,1.6292307211598545,10,0.5088040176080352,0.003952569169960474,0.005380178028676636,7.373090221429832e-05,0.003937007874015755
7,0.16981132075471697,0.03457814661134163,2.6666666666666665,0.9721991701244814,6,0.5521864028088095,0.0031466113416320886,0.0036627651202339948,1.3599773144209678e-05,0.004149377593360988
8,0.0,0.0,2.6666666666666665,0.7725146198830409,6,0.5876566416040101,0.0027050003864286265,0.0030863757156360957,1.1969028258533742e-05,0.004385964912280706
9,0.0,0.0,1.6666666666666667,0.5271317829457365,3,0.6331162790697674,0.0021734405564007822,0.0023545606027675138,3.265262807738265e-06,0.004651162790697657
10,0.0,0.0,1.0,0.26732673267326734,1,0.7326732673267325,0.0013299837446431211,0.0013299837446431215,0.0,0.004950495049504941
11,0.0,0.0,1.0,0.21164021164021163,1,0.7883597883597885,0.0011257458065968705,0.0011257458065968707,0.0,0.005291005291005276
12,0.0,0.0,1.0,0.14772727272727273,1,0.8522727272727272,0.0008441558441558442,0.0008441558441558445,0.0,0.005681818181818185
13,0.0,0.0,1.0,0.06134969325153374,1,0.9386503067484663,0.00037870181019465275,0.0003787018101946527,0.0,0.0061349693251533674
14,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.006666666666666689
15,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.007299270072992693
16,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.008064516129032253
17,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.009009009009009025
18,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.01020408163265307
19,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.011764705882352908
20,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.013888888888888846
