,GCC,ACC,ASP,h,diam,g,d,cl,b,PR
0,0.019026204918277705,0.5582193050809927,1.9937392979452055,257.7558593749982,3,0.3360053578172205,0.010121086105675147,0.5022147711510349,0.0019485084273435582,0.0019531250000000004
1,0.0456953642384106,0.03252032520325205,9.63751035005197,61.524744225448174,26,0.23041721435178425,0.0055304422697994805,0.10143726840381652,0.016568550822047556,0.002032520325203251
2,0.054373522458628844,0.034533898305084756,12.744270413451572,47.73029045587873,33,0.23437848461195362,0.005469790204757278,0.07567219643969476,0.023423779346335563,0.00211864406779661
3,0.06327900287631831,0.034660766961651934,7.111547525530243,15.892001167173259,16,0.2346222789225502,0.005376449581068619,0.025853875879698025,0.0029422871058959973,0.002212389380530974
4,0.06397306397306397,0.03171296296296297,10.669027012850774,11.683356023813879,32,0.23803161879314186,0.005360058434304374,0.019199562756919062,0.0022683511494011677,0.0023148148148148103
5,0.07233502538071065,0.03349514563106797,5.8120567375886525,8.584690088455158,13,0.248468436002883,0.005409491413318215,0.014689421029576029,0.0009397615767667857,0.0024271844660194147
6,0.06951871657754011,0.02414965986394559,8.481382978723405,5.780364853072004,21,0.2425551853394419,0.005115089514066497,0.009880091819212232,0.0006872648725041855,0.0025510204081632664
7,0.05405405405405406,0.01621863799283154,4.5,4.358455895955892,11,0.24755972854885194,0.0050285482421818396,0.008986897499845627,0.00017099962322116854,0.0026881720430107507
8,0.0379746835443038,0.008522727272727272,5.205882352941177,3.2959175609743836,13,0.2581362090290662,0.004759129759129759,0.007401430378689011,0.00010961260961260946,0.0028409090909090927
9,0.0,0.0,5.205882352941177,2.709182818520172,13,0.26223037310532454,0.00451352236741528,0.006452430806341424,0.00010076008510835433,0.003012048192771087
10,0.0,0.0,2.6666666666666665,2.086324786324786,6,0.28137094823415576,0.004369692472586363,0.005705555220148347,2.7925606185122878e-05,0.003205128205128204
11,0.0,0.0,2.6666666666666665,1.7280821917808196,6,0.3125544381977987,0.00407192957680177,0.00504709681203113,2.63778575335973e-05,0.0034246575342465734
12,0.0,0.0,2.0,1.2732843137254897,4,0.3069718763417776,0.003717169524636423,0.004259886611471152,1.2360417721824284e-05,0.0036764705882352897
13,0.0,0.0,1.6666666666666667,0.9986772486772485,3,0.33446191932430464,0.00344653133497755,0.0037706317586795645,5.438563207487508e-06,0.003968253968253951
14,0.0,0.0,1.3333333333333333,0.6939655172413793,2,0.41781987295825773,0.0028362442155545602,0.0029482012240632928,1.4603088066356432e-06,0.004310344827586203
15,0.0,0.0,1.0,0.5471698113207547,1,0.4528301886792453,0.002593221854600733,0.0025932218546007328,0.0,0.004716981132075453
16,0.0,0.0,1.0,0.3958333333333333,1,0.6041666666666667,0.0020724258289703318,0.002072425828970333,0.0,0.005208333333333336
17,0.0,0.0,1.0,0.20930232558139536,1,0.7906976744186046,0.0012239902080783353,0.0012239902080783353,0.0,0.005813953488372107
18,0.0,0.0,1.0,0.07894736842105263,1,0.9210526315789475,0.0005228302544440571,0.0005228302544440572,0.0,0.006578947368421066
19,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.00757575757575757
20,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.008928571428571404
