,GCC,ACC,ASP,h,diam,g,d,cl,b,PR
0,0.3087757313109426,0.25895824605502027,3.3569539925965097,23.132066052227334,8,0.325015216068168,0.08408249603384453,0.3072399734866518,0.03928256654327516,0.01612903225806451
1,0.33292231812577067,0.2958465608465609,3.7056497175141243,21.214312169312155,9,0.3414942528735632,0.08192090395480225,0.2792309726152999,0.04664913306058834,0.01666666666666667
2,0.34024896265560167,0.2944481763447281,4.487598306110103,19.06213987162263,11,0.3508749356664951,0.08106473079249849,0.23220715005581882,0.06227854118053756,0.01724137931034483
3,0.34334763948497854,0.3091308493094207,2.4864864864864864,14.878571428571425,5,0.3547895902547066,0.08376623376623377,0.23404504891133512,0.014923039923039923,0.017857142857142853
4,0.3490909090909091,0.30734594623483524,2.456439393939394,12.49938271604938,5,0.3772105438772106,0.07756813417190776,0.20331682427717018,0.01296833844003655,0.018518518518518517
5,0.3562005277044855,0.29861111111111105,2.8129032258064517,10.986538461538466,6,0.37437290969899667,0.0693815987933635,0.1812368473657979,0.015671191553544492,0.019230769230769235
6,0.392226148409894,0.28431746031746036,3.455026455026455,9.147571428571428,8,0.39038961038961034,0.06285714285714286,0.14921128736440767,0.019115646258503396,0.019999999999999993
7,0.4043478260869565,0.26253306878306876,4.006666666666667,7.89770171957672,9,0.41044776119402987,0.05939716312056738,0.13101384142379727,0.021160962072155415,0.020833333333333332
8,0.430622009569378,0.2848171152518979,2.281045751633987,6.280434782608695,5,0.4308624376336422,0.05893719806763285,0.11695764721692256,0.008410188844971453,0.021739130434782605
9,0.49624060150375937,0.3010822510822511,1.9090909090909092,3.9227272727272737,4,0.45359848484848486,0.0507399577167019,0.07628801874702616,0.004329004329004329,0.02272727272727273
10,0.5409836065573771,0.3154195011337869,1.9090909090909092,3.2420634920634916,4,0.5158730158730159,0.04878048780487805,0.06745957523316318,0.0027874564459930314,0.023809523809523808
11,0.5625,0.3283333333333333,1.8055555555555556,2.1125,4,0.50625,0.041025641025641026,0.04939661478123017,0.0010458839406207823,0.025000000000000005
12,0.6,0.2631578947368421,1.6666666666666667,1.5087719298245617,3,0.4868421052631579,0.034139402560455195,0.03811330127119601,0.000474158368895211,0.026315789473684216
13,0.9,0.2777777777777778,1.0,1.1111111111111112,1,0.5292397660818714,0.03015873015873016,0.031216931216931212,9.337068160597573e-05,0.027777777777777766
14,1.0,0.29411764705882354,1.0,0.8823529411764706,1,0.6352941176470589,0.026737967914438502,0.0267379679144385,0.0,0.029411764705882346
15,1.0,0.21875,1.0,0.75,1,0.6953125,0.024193548387096774,0.02419354838709677,0.0,0.031249999999999993
16,1.0,0.2,1.0,0.5333333333333333,1,0.7166666666666667,0.01839080459770115,0.01839080459770115,0.0,0.03333333333333334
17,1.0,0.10714285714285714,1.0,0.42857142857142855,1,0.7321428571428572,0.015873015873015872,0.015873015873015872,0.0,0.035714285714285705
18,1.0,0.11538461538461539,1.0,0.46153846153846156,1,0.7115384615384616,0.018461538461538463,0.018461538461538456,0.0,0.03846153846153845
19,0.0,0.0,1.0,0.3333333333333333,1,0.6666666666666666,0.014492753623188406,0.014492753623188406,0.0,0.041666666666666644
20,0.0,0.0,1.0,0.2727272727272727,1,0.7272727272727273,0.012987012987012988,0.012987012987012986,0.0,0.04545454545454546
21,0.0,0.0,1.0,0.3,1,0.7,0.015789473684210527,0.015789473684210527,0.0,0.050000000000000024
22,0.0,0.0,1.0,0.3333333333333333,1,0.6666666666666666,0.0196078431372549,0.0196078431372549,0.0,0.05555555555555555
23,0.0,0.0,1.0,0.375,1,0.625,0.025,0.024999999999999998,0.0,0.06250000000000001
24,0.0,0.0,1.0,0.14285714285714285,1,0.8571428571428572,0.01098901098901099,0.01098901098901099,0.0,0.07142857142857142
