,CN,AA,RA,PA,JA,SA,SO,HPI,HDI,LLHN,CAR,DAGI,DALI,inDAGI,inDALI,PAGI,PALI,CN_DAGI_0.2_0.8,CN_DALI_0.2_0.8,CN_inDAGI_0.2_0.8,CN_inDALI_0.2_0.8,CN_PAGI_0.2_0.8,CN_PALI_0.2_0.8,CN_DAGI_0.4_0.6,CN_DALI_0.4_0.6,CN_inDAGI_0.4_0.6,CN_inDALI_0.4_0.6,CN_PAGI_0.4_0.6,CN_PALI_0.4_0.6,CN_DAGI_0.6_0.4,CN_DALI_0.6_0.4,CN_inDAGI_0.6_0.4,CN_inDALI_0.6_0.4,CN_PAGI_0.6_0.4,CN_PALI_0.6_0.4,CN_DAGI_0.8_0.2,CN_DALI_0.8_0.2,CN_inDAGI_0.8_0.2,CN_inDALI_0.8_0.2,CN_PAGI_0.8_0.2,CN_PALI_0.8_0.2
0,0.9465530430468438,0.9572172909640071,0.9619711879634839,0.9126281146484045,0.9014857685375026,0.9107650632366658,0.9014857685375026,0.8792785588539607,0.896054572050688,0.8987204894260856,0.9136676783238865,0.7648611181457062,0.7626713876778067,0.24054032766185965,0.2346347549597752,0.9126428265227581,0.8984012291783596,0.9057994409890122,0.9355524338998,0.612649475786996,0.44882030635001213,0.9356466653411728,0.9531552041381962,0.9371339981155724,0.9487238869888637,0.7688543735183445,0.5970158333467039,0.9432149313302518,0.9552934807686128,0.9466474002307327,0.9506561470813226,0.8596375527307527,0.7150896149306463,0.9461123909743229,0.955081177104863,0.9500617119119255,0.9503085444705256,0.9190307223671139,0.8234397277644354,0.9471485596018772,0.9553428221318294
1,0.9440527364334164,0.9545237930701291,0.9597782285600829,0.9114703286851249,0.9024590229099878,0.9088533671888919,0.9024590229099878,0.8685442456354501,0.8975973571545347,0.8995218371206792,0.9090895539456769,0.749408118892372,0.7523259133641801,0.25646775608668226,0.23861128302537576,0.9114788649418433,0.891199470966127,0.904397695995512,0.9346609684222714,0.6294474407130215,0.45790832967420947,0.9345617185120677,0.9485207151252888,0.9375995811679271,0.9492590376280234,0.7808094399685581,0.6021718326563446,0.9417446090608467,0.9514293872690216,0.9479099523274269,0.9519158774578813,0.861394608265828,0.7126919205323934,0.9448878881168374,0.951198271303541,0.9505878652447658,0.9510023196194675,0.9148015327957377,0.8151174201607732,0.9460033093156196,0.9516638158117363
2,0.9550959182885941,0.9657943436226466,0.9707772352124936,0.9164377439654117,0.9162813246416802,0.9233483899675216,0.9162813246416802,0.8827179298366218,0.9107196492308476,0.9112974384924708,0.9315777222283221,0.7541999247317475,0.7455566817282736,0.2485934444216359,0.2540167517611657,0.9164949559927373,0.8973746517053114,0.9070269000459883,0.9339678970161629,0.6351013913487658,0.48260657399760354,0.9422767691619766,0.9609108831050621,0.9425158115047443,0.950982918045126,0.7910752270777937,0.6286291471136296,0.9508870673865686,0.9632725140391999,0.9542798823316927,0.9552108644869108,0.8783177257132582,0.7421461138985295,0.9545973456801912,0.9622303650112425,0.9593495492259144,0.955378447739486,0.9296111054089707,0.8444672513482246,0.9558914663226287,0.962642361227143
3,0.9399733126207405,0.9549604293071644,0.9613713462521494,0.904627496120959,0.89949350937113,0.9069832071941432,0.89949350937113,0.870579078991968,0.8945046829913994,0.8974149138942838,0.9066626517256597,0.7621586662737355,0.7709687101109646,0.24619831364780723,0.22472092888782286,0.904628386085117,0.9003037134981201,0.900034583526119,0.9335599422610498,0.6218376326299153,0.44766743761615835,0.927500056043689,0.9493609913026929,0.9304194992782633,0.9462435190164175,0.7703647852439517,0.5918122383445242,0.9352016615486511,0.94967495622579,0.9405883500131859,0.9488418776146305,0.8534200408575329,0.7030687263035016,0.9387893235473838,0.9499074052426297,0.9443623272110535,0.9484310028106512,0.9065985502531971,0.8063937093677243,0.93975313067743,0.9501535164119492
4,0.9501004541469553,0.9626919345821037,0.9675402587967059,0.9013603684271803,0.9122727876740592,0.9190368322272783,0.9122727876740592,0.8826552961252901,0.9074435679519283,0.9064365837814532,0.9147810044057068,0.7477519951981129,0.7660235009427283,0.25563428252062875,0.22870862167489267,0.9014292783058128,0.8842850661802246,0.8907273427404574,0.9307890520510252,0.6319556808686841,0.45164169557796047,0.9317569787193953,0.9520676769060575,0.9265806126273342,0.9479873121485853,0.7880832758398675,0.5998308211054296,0.9421450914979198,0.9550250677682374,0.9408050257722947,0.9527849824598646,0.870441457252631,0.7161873624630819,0.9467067454748836,0.9554388098790848,0.9489135329127981,0.953154473115068,0.9277376557723235,0.8231304029973123,0.948069901152379,0.9557869590420252
5,0.9449226900236677,0.9551204209172999,0.9593874631105548,0.9017644037838579,0.9057621078352959,0.9130837372456245,0.9057621078352959,0.8717649832186762,0.8999909618073217,0.9003424855970829,0.9173216343627627,0.7559661976546261,0.7587636792427133,0.2575528585698657,0.24283031127535587,0.9017318415280439,0.8806262254179731,0.895233826711351,0.9328788154173243,0.6338736356662436,0.455267656790357,0.9290871078724391,0.946652624864489,0.9283389931403832,0.9498378572995663,0.7844871184706486,0.5998343658333536,0.9385297163394181,0.9496269578830125,0.9406370762016216,0.9539110859747555,0.8703922427049405,0.7127869130931965,0.9425098887732769,0.950538205802371,0.9472576390061653,0.9527108139870613,0.9217429696480157,0.8159513700661991,0.9437272218972874,0.9503457046794066
6,0.9428226091139147,0.9558291072036982,0.9613058368510566,0.9103856379258103,0.9010756762452323,0.9093014240950605,0.9010756762452323,0.8762777605471676,0.896253949563457,0.8964078840658394,0.9030965440687245,0.7624228814435455,0.7649205840839564,0.2504073336123303,0.23012776514089445,0.9103848689974225,0.8987646743781751,0.9078031795337657,0.9375344653546664,0.6161816812088388,0.4418985556250733,0.9347784027760002,0.948599047203472,0.9389932961350584,0.9497701747461694,0.7644520586544528,0.5847576863569879,0.9424451892962787,0.9511407771951119,0.9475926439647258,0.9513890418477616,0.8524397155183243,0.6984069887355464,0.9451155783700742,0.9517513063349183,0.9504552155271545,0.9501943255664621,0.9102872647004722,0.8055609049820806,0.9458551634583006,0.9517009539275969
7,0.9521441349015041,0.9649422393404277,0.9708494450470111,0.9170592285553301,0.9097484169645085,0.9178745651920329,0.9097484169645085,0.88266982174896,0.9047985072770487,0.907005446767526,0.9220048876726461,0.7578077056557457,0.7743518182417565,0.25255450812812863,0.2252435323107331,0.9170964210440898,0.9008007977547328,0.9061961478725051,0.9445721306055299,0.62668271256896,0.4416188779412557,0.9406825208102843,0.955736397994407,0.9397837667345069,0.9578159652863665,0.7814327126293374,0.5900362530161538,0.9492455358749327,0.9581545376889118,0.9511874909584819,0.960060387077204,0.8700780873207183,0.7086111237903686,0.9530531048362068,0.9578845781828378,0.956385769187762,0.9587243072959345,0.9264373870489476,0.8186273991268459,0.9540863314947202,0.9579443759764537
8,0.9488407444248931,0.9620272564897122,0.968548376721537,0.909411883555055,0.9101933770636369,0.9163992975939367,0.9101933770636369,0.8772215048846207,0.9055274175982795,0.904554455377995,0.9147572913566082,0.7519934870424073,0.7611229237900923,0.2576634754889835,0.23618593936431026,0.9094059625959123,0.8966527526563419,0.9009323147139392,0.9391192848611942,0.6337813184626129,0.44576686508458635,0.9361738635315894,0.9516962305273542,0.9369793089036994,0.9551945427372394,0.7824049220665327,0.589390523268541,0.9448059153451961,0.9545993523299146,0.949134745630722,0.958011067466576,0.871468013857871,0.7041966783760334,0.9480065227040274,0.9548768333287525,0.9534316076100943,0.9566636228550778,0.9215516772542188,0.8127111199608739,0.9487656968769108,0.9543514517607031
9,0.9402003648788437,0.9525303300081894,0.9581644667377455,0.900280728313094,0.9002706826357716,0.9081925549476225,0.9002706826357716,0.8739669571132425,0.8946674270624296,0.8949079280187783,0.9128465560243206,0.7414071012471324,0.7628253782482759,0.26592113354529956,0.2344152602222332,0.9002739071741712,0.8937322613181794,0.8943911089257008,0.9294901101919026,0.6304046240079088,0.4533149594174479,0.9255758926365631,0.9472680321644231,0.9259677236604326,0.9429803634540938,0.7775736479609705,0.5965602658289614,0.9341453762798192,0.9489860910280246,0.9356191639575583,0.9460944738158553,0.8574850019277778,0.709025914573346,0.9382024160821322,0.9489061472798489,0.941309804521537,0.9455152475026695,0.9112851105103879,0.81248160772905,0.9395933827312775,0.9491192892680814
10,0.9331553155203705,0.946172156291233,0.9511468503043512,0.8959230462767629,0.8929737009068826,0.9006013459115747,0.8929737009068826,0.866824345059276,0.8871593651823085,0.888234936922431,0.9059789975424969,0.746074502225171,0.7465658009497045,0.26272621846018007,0.24630313304724585,0.8959213379518157,0.8813964862758351,0.8981700889074424,0.9235417945322006,0.6222495450678899,0.4694266260975729,0.9202079207469751,0.9431225115399939,0.9269842763701182,0.9381153075854598,0.7668364741663996,0.6083384997221124,0.9283532140943227,0.9456978890487466,0.9359980717670416,0.9406366399049799,0.8493702078896864,0.7147279559819535,0.9319814115609494,0.944506358281918,0.9400270008522991,0.9404636849459507,0.9033243641096872,0.8109782707278831,0.9330882767080559,0.9441181543795654
11,0.9475817009122393,0.958871772757401,0.9637501630424656,0.906687003718699,0.9079477678488245,0.9164063311053081,0.9079477678488245,0.8823148037234906,0.901273754289015,0.9022370757235758,0.9177446635202798,0.7588992437491514,0.7717202643816763,0.25265174927928574,0.2232740258046312,0.9066271904256141,0.8882223446704411,0.9059022703496962,0.9400212953424424,0.6323089208851409,0.44869930710279526,0.9352804729695557,0.9531073897500193,0.9398655997700104,0.9544509129047114,0.7866699142063891,0.5963032350287087,0.9440810128064866,0.9558706201469912,0.9509431174784185,0.9569698857238685,0.8722503586934244,0.7116893595159569,0.9481405439362844,0.9542515352610943,0.9546367147675215,0.9555600808158246,0.9229507092679993,0.817041384836119,0.9493040149706258,0.9540613678530834
12,0.935144303169002,0.9470901340867729,0.9529226519860284,0.8935750607276145,0.9011454377148771,0.9072163797319062,0.9011454377148771,0.8602943339004402,0.8962626284277517,0.8931498303415252,0.904306040260427,0.7402947974890446,0.7611657558562955,0.2566539171492392,0.2298408744577135,0.8934970482366436,0.882305994400049,0.8889340153901446,0.9261741876855913,0.6314359681948308,0.44724880102527853,0.923785983573012,0.9408013552738688,0.9245860727016597,0.940786974057482,0.7764991483428701,0.5874935758084512,0.9327527841486595,0.9421972305316464,0.9360386802380153,0.9435746868658369,0.8556977531904119,0.6984051804281863,0.9363450724269959,0.9424270807526486,0.9414864195955414,0.9425284720667926,0.9063079454600468,0.801781251978352,0.9375150105503792,0.9423241939913931
13,0.9460861690860628,0.9549414607194274,0.9585562104395597,0.9110052797562099,0.902656125527746,0.910391184920082,0.902656125527746,0.8749999409423244,0.8968404143486529,0.8993127523895392,0.9209722468295869,0.7578440273660145,0.7530158130207738,0.24846805701559252,0.24231348601711097,0.9109369828352146,0.88132094959493,0.90297393456672,0.9299917712971821,0.6302718096715474,0.45983177749167614,0.9359552316570141,0.9480484587915224,0.9350823329619261,0.9468151770352258,0.7802682793349318,0.6050256769650129,0.944201756768994,0.9519777103207882,0.9472942266528602,0.9513444545498689,0.8667724192780002,0.7198469487523738,0.9479326532513875,0.9524649755173125,0.9522922908734891,0.9512790973887322,0.9209231895869506,0.8248418107345856,0.9492052280479338,0.9513050827660515
14,0.9427757186557665,0.9532754510304082,0.9585585056864843,0.9067518983854548,0.8989770993767376,0.9073383498466449,0.8989770993767376,0.8694511854976501,0.8930382920056857,0.8938671087829521,0.9202656176639997,0.7691341291103786,0.7762191424129925,0.24537741225841114,0.22129700384638346,0.9068057209306828,0.891884422348714,0.903688399781866,0.9372639370896881,0.6179803048307284,0.43943592258346603,0.9320575701069532,0.9463200656095565,0.935501885276451,0.9508337477795364,0.772355011390716,0.5845389331368193,0.9401028431614562,0.9490106382592534,0.9456288933741849,0.9530407998589875,0.8593648405219078,0.6996824999233627,0.9440246790109116,0.9495735691421306,0.9498584883019282,0.9515747594396929,0.914763239287322,0.8071329216702727,0.9453523942284885,0.9497025415736935
15,0.946171879693969,0.9582075913000493,0.9641476516719588,0.894237449405313,0.9077135257798988,0.9157762005031026,0.9077135257798988,0.8768735435943028,0.9015232760881551,0.9002392642796716,0.9187915509220448,0.7600245847820974,0.772682831923813,0.25190755527986736,0.22639557062881127,0.8942777176676584,0.8792057839975007,0.8920732884341389,0.9297108630594891,0.6276262503442961,0.4429432648209085,0.9266585140234346,0.9453211819221757,0.9257713338943028,0.9454324481952985,0.7776831765886715,0.585276158169801,0.9367720675731926,0.9480123949546571,0.9382384174169724,0.9497906148693238,0.8632451214188903,0.700870654899615,0.9413713029777175,0.9486890148475327,0.9450920855016653,0.9501939858391418,0.9215240893202176,0.8096918479828354,0.9429301862399758,0.9486119692222639
