delta 	 N 	 E  	 cc 	 bc 	 density 	 pr 	 clc 	 hc 	 katz 
-1 	 1.0 	 1.0 	 0.21013812202465618 	 0.00022605635927274245 	 0.013648796577082803 	 0.0005344735435595917 	 0.09518600755819086 	 197.4413440929869 	 0.004861498340001001
0.0 	 0.9444147514698022 	 0.9943250827155841 	 1.0228308153838965 	 1.1129721333401414 	 1.1148502621205054 	 1.058856819468025 	 1.0816570498848657 	 1.021419808994158 	 1.0530621936031062
0.05 	 0.943345804382683 	 0.9918540855216317 	 1.0230264017881696 	 1.1132490765821892 	 1.1146021849648042 	 1.0600566572238141 	 1.0812268044685462 	 1.0197855480031466 	 1.0535902286210057
0.1 	 0.9412079102084446 	 0.9888176906646564 	 1.0222181132325634 	 1.112763579176601 	 1.1162451833819822 	 1.0624645088018263 	 1.0812569056501977 	 1.0171840443010927 	 1.0560248401440597
0.15 	 0.9396044895777659 	 0.9872890229090757 	 1.0217531142452718 	 1.1137388436991211 	 1.118327669229983 	 1.0642775881683837 	 1.0809503100081903 	 1.015238611701724 	 1.057631181422331
0.2 	 0.9337252805986104 	 0.9785358294593123 	 1.0216640018503025 	 1.118717931244455 	 1.1224189279600763 	 1.0709788208357156 	 1.0813450629114263 	 1.0093692410642026 	 1.0641315915722904
0.25 	 0.9278460716194549 	 0.9638564308749006 	 1.019411059691521 	 1.1215878967241604 	 1.1196403553341265 	 1.0777649769585333 	 1.0791699437677402 	 1.0007346821777643 	 1.0725466737083935
0.3 	 0.9134152859433458 	 0.894647568790049 	 1.02439081592805 	 1.1314120836865458 	 1.0723522097010727 	 1.0947922761848996 	 1.0656780356016513 	 0.9715618214649322 	 1.103450471907411
0.35 	 0.8834847675040085 	 0.8117435188675294 	 1.0260354922963455 	 1.156823510745267 	 1.0400430765356354 	 1.1318814277071907 	 1.0595788972816949 	 0.9325383351126784 	 1.1237718673561508
0.4 	 0.8588989845002672 	 0.7213008334380366 	 1.0272174417800244 	 1.1614925137238161 	 0.9778458801460916 	 1.1642812694461817 	 1.041896748799429 	 0.8893020959845654 	 1.158089271487976
0.45 	 0.8305718866916088 	 0.638941240524354 	 1.0158321858208388 	 1.1692629130212266 	 0.9263046505701978 	 1.2039897039896967 	 1.0131853293754531 	 0.8356147813252963 	 1.2342933464131685
0.5 	 0.7375734901122395 	 0.49964400887883736 	 1.013045103840333 	 1.26297081100817 	 0.9186132930526268 	 1.35579710144927 	 1.00386215077816 	 0.7330820705760367 	 1.371307368044136
0.55 	 0.6761090326028861 	 0.3720316622691293 	 0.9525112138173625 	 1.2811418297807589 	 0.8140624024349337 	 1.4790513833992132 	 0.921732087562688 	 0.6155014576839121 	 1.4907255408635678
0.6 	 0.564404061998931 	 0.2279599614691963 	 0.8634036352807927 	 1.3617950696675296 	 0.7159086191203324 	 1.7717803030303139 	 0.8015850882199447 	 0.4478788042133161 	 1.8883384905972929
0.65 	 0.4607161945483699 	 0.13552791389202998 	 0.7791005715089944 	 1.3277128817785326 	 0.6389012388982996 	 2.1705336426914386 	 0.6550029029837424 	 0.29800862081873475 	 2.522865098551607
0.7 	 0.2773917691074292 	 0.044457008836956066 	 0.523765864157081 	 1.3468228685623995 	 0.5785734699506654 	 3.6050096339113975 	 0.41812262982490245 	 0.11675875166233889 	 5.482981526423337
0.75 	 0.1213254943880278 	 0.0012354985969761695 	 0.0 	 0.0065150143719218566 	 0.08426036852641833 	 8.2422907488987 	 0.013037811713379087 	 0.001476302313520209 	 13.639614229484668
0.8 	 0.1213254943880278 	 0.0012354985969761695 	 0.0 	 0.0065150143719218566 	 0.08426036852641833 	 8.2422907488987 	 0.013037811713379087 	 0.001476302313520209 	 13.639614229484668
0.85 	 0.1213254943880278 	 0.0012354985969761695 	 0.0 	 0.0065150143719218566 	 0.08426036852641833 	 8.2422907488987 	 0.013037811713379087 	 0.001476302313520209 	 13.639614229484668
0.9 	 0.1213254943880278 	 0.0012354985969761695 	 0.0 	 0.0065150143719218566 	 0.08426036852641833 	 8.2422907488987 	 0.013037811713379087 	 0.001476302313520209 	 13.639614229484668
0.95 	 0.1213254943880278 	 0.0012354985969761695 	 0.0 	 0.0065150143719218566 	 0.08426036852641833 	 8.2422907488987 	 0.013037811713379087 	 0.001476302313520209 	 13.639614229484668
