Network,Rn,Rn_attacked,Rn_HD,Rn_HB,Rn_HC,Rn_HCc,Rn_PA,Rn_BPA,Rn_CPA,Rn_CcPA,Rn_CAR,Rn_CH2_L2,Rn_CH2_L3
Dolphins,8.919354838709678,7.6,8.0,8.3,7.466666666666667,8.35,9.016129032258064,8.741935483870968,8.774193548387096,8.403225806451612,8.629032258064516,8.17741935483871,7.983870967741935
Dolphins,8.919354838709678,6.82,8.220338983050848,8.64406779661017,8.266666666666667,7.733333333333333,8.838709677419354,8.661290322580646,8.983870967741936,8.580645161290322,8.612903225806452,7.82258064516129,7.129032258064516
Dolphins,8.919354838709678,7.7,8.327868852459016,8.725806451612904,7.758064516129032,7.919354838709677,9.161290322580646,8.693548387096774,8.709677419354838,8.870967741935484,8.951612903225806,8.241935483870968,7.903225806451613
Dolphins,8.919354838709678,7.52,7.704918032786885,8.540983606557377,8.278688524590164,8.080645161290322,9.241935483870968,9.53225806451613,8.5,9.096774193548388,6.838709677419355,7.983870967741935,6.870967741935484
Dolphins,8.919354838709678,6.3,8.540983606557377,7.966666666666667,7.866666666666666,8.65,8.5,8.564516129032258,8.661290322580646,9.080645161290322,7.225806451612903,7.645161290322581,7.612903225806452
Dolphins,8.919354838709678,6.68,7.6440677966101696,7.779661016949152,6.95,7.901639344262295,9.306451612903226,8.725806451612904,8.838709677419354,9.193548387096774,7.725806451612903,6.870967741935484,7.967741935483871
Dolphins,8.919354838709678,6.48,8.5,8.576271186440678,7.661016949152542,7.483333333333333,9.483870967741936,8.258064516129032,9.048387096774194,8.774193548387096,8.85483870967742,8.435483870967742,7.306451612903226
Dolphins,8.919354838709678,6.64,6.838709677419355,8.516129032258064,6.693548387096774,8.338709677419354,8.629032258064516,8.774193548387096,8.338709677419354,8.596774193548388,8.85483870967742,8.35483870967742,7.709677419354839
Dolphins,8.919354838709678,7.0,8.327868852459016,8.049180327868852,8.290322580645162,8.459016393442623,9.0,8.580645161290322,8.919354838709678,8.435483870967742,8.67741935483871,8.612903225806452,8.225806451612904
Dolphins,8.919354838709678,7.68,8.67741935483871,8.64516129032258,8.53225806451613,9.03225806451613,8.580645161290322,9.193548387096774,8.790322580645162,9.161290322580646,8.483870967741936,8.129032258064516,9.161290322580646
Dolphins,8.919354838709678,6.8,7.85,8.65,8.1,7.8,9.14516129032258,9.129032258064516,8.225806451612904,8.774193548387096,8.306451612903226,7.67741935483871,8.35483870967742
Dolphins,8.919354838709678,7.76,8.516129032258064,8.870967741935484,8.258064516129032,8.080645161290322,9.016129032258064,9.112903225806452,9.080645161290322,8.790322580645162,8.129032258064516,7.419354838709677,8.096774193548388
Dolphins,8.919354838709678,7.24,8.241935483870968,8.85483870967742,8.0,8.451612903225806,8.806451612903226,8.596774193548388,8.903225806451612,8.661290322580646,7.774193548387097,7.919354838709677,7.854838709677419
Dolphins,8.919354838709678,6.56,8.566666666666666,8.101694915254237,7.85,8.133333333333333,9.17741935483871,9.274193548387096,8.564516129032258,9.129032258064516,7.467741935483871,8.612903225806452,7.903225806451613
Dolphins,8.919354838709678,7.52,7.704918032786885,8.426229508196721,8.934426229508198,7.387096774193548,8.03225806451613,8.774193548387096,8.725806451612904,8.580645161290322,7.612903225806452,7.67741935483871,8.161290322580646
Dolphins,8.919354838709678,7.62,8.516129032258064,8.225806451612904,7.838709677419355,7.901639344262295,8.35483870967742,8.709677419354838,8.419354838709678,8.725806451612904,7.967741935483871,8.258064516129032,8.870967741935484
Dolphins,8.919354838709678,7.5,7.916666666666667,7.796610169491525,7.85,8.448275862068966,8.129032258064516,8.387096774193548,8.774193548387096,8.903225806451612,6.887096774193548,8.096774193548388,7.709677419354839
Dolphins,8.919354838709678,7.48,8.403225806451612,8.548387096774194,8.612903225806452,7.741935483870968,9.338709677419354,9.129032258064516,9.35483870967742,9.096774193548388,8.370967741935484,8.403225806451612,9.306451612903226
Dolphins,8.919354838709678,6.66,8.442622950819672,8.114754098360656,7.725806451612903,8.19672131147541,8.870967741935484,8.903225806451612,8.693548387096774,9.758064516129032,7.725806451612903,7.758064516129032,8.661290322580646
Dolphins,8.919354838709678,6.68,8.258064516129032,8.327868852459016,8.032786885245901,8.426229508196721,8.612903225806452,9.338709677419354,9.0,8.790322580645162,8.14516129032258,7.645161290322581,7.532258064516129
Dolphins,8.919354838709678,8.02,7.409836065573771,8.21311475409836,7.622950819672131,7.903225806451613,8.612903225806452,8.693548387096774,9.241935483870968,8.46774193548387,8.290322580645162,8.53225806451613,7.548387096774194
Dolphins,8.919354838709678,7.1,7.033333333333333,8.694915254237289,7.366666666666666,7.5,8.774193548387096,9.112903225806452,9.403225806451612,8.67741935483871,8.387096774193548,6.758064516129032,6.129032258064516
Dolphins,8.919354838709678,7.6,8.147540983606557,8.475409836065573,7.950819672131147,7.918032786885246,9.016129032258064,9.274193548387096,8.661290322580646,9.17741935483871,8.483870967741936,8.016129032258064,8.306451612903226
Dolphins,8.919354838709678,6.46,8.290322580645162,7.870967741935484,8.419354838709678,7.725806451612903,8.85483870967742,8.85483870967742,9.080645161290322,9.564516129032258,8.080645161290322,8.53225806451613,7.5
Dolphins,8.919354838709678,7.26,8.672131147540984,7.661290322580645,9.327868852459016,7.377049180327869,8.870967741935484,8.548387096774194,8.451612903225806,8.870967741935484,7.016129032258065,9.435483870967742,7.193548387096774
Dolphins,8.919354838709678,7.16,8.435483870967742,8.5,8.35483870967742,8.435483870967742,8.983870967741936,8.758064516129032,8.838709677419354,9.03225806451613,8.483870967741936,8.709677419354838,7.467741935483871
